"spell","level","school","classes","cast_time","duration","range_area","attack_save","damage_effect","description","source_url"
"Ensnaring Strike","1","Conjuration","Ranger","Action","Duration 10 turns","-","Attack Roll STR Save","Normal weapon damage 1d6 Piercing","Your attack summons thorny vines that possibly Ensnare your target. Ensnared creatures cannot move and take 1d6 Piercing damage at the start of each turn. An ally can use their Help action to try and tear away the vines.","https://bg3.wiki/wiki/Ensnaring_Strike"
"Entangle","1","Conjuration","Druid","Action","-","Range 18 m / 60 ft Aoe 3m / 10ft (Radius)","STR Save","-","Vines sprout from the ground, turning it into Difficult Terrain and possibly Entangling creatures within. Entangled creatures cannot move. An ally can use its help action to try and tear away the vines.","https://bg3.wiki/wiki/Entangle"
"Expeditious Retreat","1","Transmutation","Sorcerer; Warlock; Wizard","Bonus Action","Duration Long Rest","Range Self","-","-","Gain Dash immediately and as a bonus action on each of your turns until this spell ends.","https://bg3.wiki/wiki/Expeditious_Retreat"
"Faerie Fire","1","Evocation","Bard; Druid","Action","Duration 10 turns","Range 18 m / 60ft Aoe 6m / 20ft (Radius)","DEX Save","-","All targets within the light turn visible, and Attack Roll Attack Rolls against them have Advantage.","https://bg3.wiki/wiki/Faerie_Fire"
"False Life","1","Necromancy","Sorcerer; Wizard","Action","Duration Long Rest","Range Self","-","-","Bolster yourself with a necromantic facsimile of life to gain 7 temporary hit points 7 temporary hit points. Prerequisite Can only have temporary hit points from one source.","https://bg3.wiki/wiki/False_Life"
"Feather Fall","1","Transmutation","Bard; Sorcerer; Wizard","Bonus Action","Duration 10 turns","Range Self Aoe 9m / 30ft (Radius)","-","-","You and nearby allies gain Immunity to Falling damage.","https://bg3.wiki/wiki/Feather_Fall"
"Find Familiar","1","Conjuration","Wizard","Action","-","Range 18 m / 60ft","-","-","Summon a familiar, a fey spirit that takes an animal form of your choosing","https://bg3.wiki/wiki/Find_Familiar"
"Fog Cloud","1","Conjuration","Druid; Ranger; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 4.5m / 15ft (Radius)","-","-","Create a cloud of dense fog to Heavily Obscure and Blind creatures within.","https://bg3.wiki/wiki/Fog_Cloud"
"Goodberry","1","Transmutation","Druid; Ranger","Action","-","Range 1.5 m / 5 ft","-","-","Conjure four magical berries for yourself or a companion. Creatures who eat a berry regain 1d4 Hit Points. Each berry counts as one Camp Supplies. The berries appear in the targeted creature's inventory and disappear after a Long Rest.","https://bg3.wiki/wiki/Goodberry"
"Grease","1","Conjuration","Wizard","Action","-","Range 18 m / 60ft","DEX Save","-","Cover the ground in flammable grease. It becomes Difficult Terrain and creatures within can fall Prone.","https://bg3.wiki/wiki/Grease"
"Guiding Bolt","1","Evocation","Cleric","Action","Duration 2 turns","Range 18 m / 60ft","Attack Roll","4d6 Radiant","The next attack roll against this target has Advantage.","https://bg3.wiki/wiki/Guiding_Bolt"
"Hail of Thorns","1","Conjuration","Ranger","Bonus Action","-","Range 18 m / 60 ft Aoe 2m / 7ft (Radius)","Attack Roll DEX Save","Normal weapon damage 1d10 Piercing","Shoot a volley of thorns. The thorns deal weapon damage to the target and then explode. The explosion deals an additional 1d10 Piercing damage to the target and surrounding creatures. On miss, the thorns still explode. On save, targets still take half damage from the explosion.","https://bg3.wiki/wiki/Hail_of_Thorns"
"Healing Word","1","Evocation","Bard; Cleric; Druid","Bonus Action","-","Range 18 m / 60ft","-","1d4 + Spellcasting modifier Healing","Heal a creature you can see. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Healing_Word"
"Hellish Rebuke","1","Evocation","Warlock","Reaction","-","-","-","2d10 Fire","React to your next attacker with flames that deal 2d10 Fire damage. On a successful save, the target still takes half damage.","https://bg3.wiki/wiki/Hellish_Rebuke"
"Heroism","1","Enchantment","Bard; Paladin","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Make yourself or a target immune to Frightened and gain 5 Temporary Hit Points each turn. Prerequisite Can only have Temporary Hit Points from one source.","https://bg3.wiki/wiki/Heroism"
"Hex","1","Enchantment","Warlock","Bonus Action","-","Range 18 m / 60 ft","-","1d6 Necrotic","Make your attacks deal an additional 1d6 Necrotic damage to the target and give it Disadvantage on an Ability of your choosing. If the target dies before the spell ends, you can Reapply Hex to a new creature without expending a Spell Slot.","https://bg3.wiki/wiki/Hex"
"Hunter's Mark","1","Divination","Ranger","Bonus Action","Duration Long Rest","Range 18 m / 60 ft","-","1d6 Weapon","Mark a creature as your quarry to deal an additional 1d6 Weapon damage whenever you hit it with a weapon attack. If the target dies before the spell ends, you can use Reapply Hunter's Mark Reapply Hunter's Mark to mark a new creature.","https://bg3.wiki/wiki/Hunter%27s_Mark"
"Ice Knife","1","Conjuration","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 2m / 7ft (Radius)","Attack Roll DEX Save","1d10 Piercing 2d6 Cold","Throw a shard of ice that deals 1d10 Piercing damage. It explodes and deals 2d6 Cold damage to anyone nearby. It leaves an Ice surface. On miss, the shard of ice still explodes. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/Ice_Knife"
"Inflict Wounds","1","Necromancy","Cleric","Action","-","Range 1.5 m / 5 ft","Attack Roll","3d10 Necrotic","Putrefy a creature with Necrotic energy filling your hands.","https://bg3.wiki/wiki/Inflict_Wounds"
"Longstrider","1","Transmutation","Bard; Druid; Ranger; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Increase a creature's Movement Speed by 3 m (10 ft).","https://bg3.wiki/wiki/Longstrider"
"Mage Armour","1","Abjuration","Eldritch Knight; Sorcerer; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Surround an unarmoured creature in a protective magical force. Its Armour Class increases to 13 + its Dexterity modifier. This effect does not stack with Unarmoured Defence. Prerequisite The target can't be wearing Armour.","https://bg3.wiki/wiki/Mage_Armour"
"Magic Missile","1","Evocation","Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","-","1d4 + 1 Force 1d4 + 1 Force 1d4 + 1 Force","Create three darts of magical force, each dealing 1d4 + 1 Force damage to its target. The darts always hit their target, and can each be targeted individually.","https://bg3.wiki/wiki/Magic_Missile"
"Protection from Evil and Good","1","Abjuration","Cleric; Eldritch Knight; Paladin; Warlock; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Protect an ally against the attacks and powers of Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. The targets can't be Charmed, Frightened, or possessed by them [ See: Bugs ], and when these creatures attack it, they have Disadvantage.","https://bg3.wiki/wiki/Protection_from_Evil_and_Good"
"Ray of Sickness","1","Necromancy","Sorcerer; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","Attack Roll CON Save","2d8 Poison","Possibly Poisons the target.","https://bg3.wiki/wiki/Ray_of_Sickness"
"Sanctuary","1","Abjuration","Cleric","Bonus Action","Duration 10 turns","Range 18 m / 60 ft","-","-","You or an ally cannot be targeted until you attack or harm a creature. You can still take damage from area spells. Until the affected entity attacks or harms another creature, it cannot be targeted by enemy attacks. However, it can still take damage from spells that influence a larger area.","https://bg3.wiki/wiki/Sanctuary"
"Searing Smite","1","Evocation","Paladin","Action","Duration 10 turns","Range Weapon Range","Attack Roll","Normal weapon damage 1d6 Fire 1d6 Fire","Your weapon flares with white-hot intensity. It deals, on top of weapon damage, an extra 1d6 Fire damage and marks the target with Searing Smite.","https://bg3.wiki/wiki/Searing_Smite"
"Shield","1","Abjuration","Eldritch Knight; Sorcerer; Wizard","Reaction","Duration 1 turn","Range Self","-","-","When you are about to be hit by an enemy, use your Reaction to increase your Armour Class by 5. You also take no damage from Magic Missile. These effects last until the start of your next turn.","https://bg3.wiki/wiki/Shield_(spell)"
"Shield of Faith","1","Abjuration","Cleric; Paladin","Bonus Action","Duration Long Rest","Range 18 m / 60 ft","-","-","Surround a creature with a shimmering field of magic that increases its Armour Class by 2.","https://bg3.wiki/wiki/Shield_of_Faith"
"Sleep","1","Enchantment","Arcane Trickster; Bard; Sorcerer; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","-","-","Put creatures into a magical slumber. Select targets up to a combined 24 Hit Points. Prerequisite The condition ends upon taking damage.","https://bg3.wiki/wiki/Sleep"
"Speak with Animals","1","Divination","Bard; Druid; Ranger","Action","Duration Long Rest","Range Self","-","-","Gain the ability to comprehend and communicate with beasts.","https://bg3.wiki/wiki/Speak_with_Animals"
"Tasha's Hideous Laughter","1","Enchantment","Arcane Trickster; Bard; Wizard","Action","Duration 10 turns","Range 18 m / 60ft","WIS Save","-","Leave a creature Prone with laughter, without the ability to get up. Prerequisite The creature must have an Intelligence of 5 or more. Prerequisite The target can try to shake off the effect each time it takes damage.","https://bg3.wiki/wiki/Tasha%27s_Hideous_Laughter"
"Thunderous Smite","1","Evocation","Paladin","Action","Duration 1 turn","Range Weapon Range","Attack Roll STR Save","Normal weapon damage 2d6 Thunder","Your melee weapon rings with thunder as you strike, pushing your target 3 m (10 ft) away and possibly knocking them Prone.","https://bg3.wiki/wiki/Thunderous_Smite"
"Thunderwave","1","Evocation","Bard; Druid; Eldritch Knight; Sorcerer; Wizard","Action","-","Range 1.5 m / 5 ft Aoe 5m / 17ft (Cube)","CON Save","2d8 Thunder","Release a wave of thunderous force that pushes away all creatures and objects in an area, while also dealing Thunder damage.","https://bg3.wiki/wiki/Thunderwave"
"Witch Bolt","1","Evocation","Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","Attack Roll","1d12 Lightning","Link yourself to a target with a bolt of lightning. Deal an additional 1d12 Lightning each turn by activating it.","https://bg3.wiki/wiki/Witch_Bolt"
"Wrathful Smite","1","Evocation","Paladin","Action","Duration 2 turns","Range Weapon Range","Attack Roll WIS Save","Normal weapon damage 1d6 Psychic","Your weapon absorbs your wrath as you strike, possibly Frightening your target.","https://bg3.wiki/wiki/Wrathful_Smite"
"Aid","2","Abjuration","Cleric; Paladin","Action","Duration Long Rest","Range Self Aoe 9m / 30ft (Radius)","-","-","Bolster your allies with toughness and resolve to heal and increase their Hit Points maximum.","https://bg3.wiki/wiki/Aid"
"Arcane Lock","2","Abjuration","Eldritch Knight; Wizard","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Close a door or container with a magical lock. It can no longer be lockpicked or opened with Knock.","https://bg3.wiki/wiki/Arcane_Lock"
"Barkskin","2","Transmutation","Druid; Ranger","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Touch a willing creature to toughen its skin and increase its Armour Class up to 16.","https://bg3.wiki/wiki/Barkskin"
"Blindness","2","Necromancy","Bard; Cleric; Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","CON Save","-","Limit a foe's sight range. It is easier to hit, and the creature will miss more often. Attack Roll Attack Rolls against it have Advantage and the foe attacks with Disadvantage.","https://bg3.wiki/wiki/Blindness"
"Blur","2","Illusion","Arcane Trickster; Sorcerer; Wizard","Action","Duration 10 turns","Range Self","-","-","Attackers have Disadvantage on Attack Roll Attack Rolls against you. Doesn't affect creatures that don't rely on sight or that can see through illusions.","https://bg3.wiki/wiki/Blur"
"Branding Smite","2","Evocation","Paladin","Action","Duration 10 turns","Range Weapon Range","Attack Roll","Normal weapon damage 2d6 Radiant","Your weapon gleams with astral radiance as you strike and possibly mark your targets with light, preventing it from turning Invisible.","https://bg3.wiki/wiki/Branding_Smite"
"Calm Emotions","2","Enchantment","Bard; Cleric","Action","Duration 10 turns","Range 18 m / 60 ft Aoe 6m / 20ft (Radius)","-","-","Humanoids can't be Charmed, Frightened, or become enraged. [ See: Bugs ]","https://bg3.wiki/wiki/Calm_Emotions"
"Cloud of Daggers","2","Conjuration","Bard; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60 ft","-","4d4 Slashing","Conjure a cloud of spinning daggers that attack anyone inside.","https://bg3.wiki/wiki/Cloud_of_Daggers"
"Crown of Madness","2","Enchantment","Arcane Trickster; Bard; Sorcerer; Warlock; Wizard","Action","Duration 3 turns","Range 18 m / 60ft","WIS Save","-","Instil madness in a humanoid enemy, making them attack the creature closest to them (other than you), even if it's allied. At the end of each turn, the affected creature can make a Wisdom Saving Throw Wisdom Saving Throw to end this condition.","https://bg3.wiki/wiki/Crown_of_Madness"
"Darkness","2","Evocation","Eldritch Knight; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60 ft","-","-","Create a cloud of magical darkness that Heavily Obscures and inflicts Blind to creatures within. Creatures cannot make ranged attacks into or out of it.","https://bg3.wiki/wiki/Darkness"
"Darkvision","2","Transmutation","Druid; Ranger; Sorcerer; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Grant a creature the ability to see in the dark out to a range of {12 m (40 ft).","https://bg3.wiki/wiki/Darkvision_(spell)"
"Detect Thoughts","2","Divination","Bard; Sorcerer; Wizard","Action","Duration Long Rest","Range Self","-","-","Focus your mind to read the thoughts of certain creatures while talking to them.","https://bg3.wiki/wiki/Detect_Thoughts"
"Enhance Ability","2","Transmutation","Bard; Cleric; Druid; Sorcerer","Action","-","Range 1.5 m / 5 ft","-","-","Bestow a magical enchantment upon an ally. They gain Advantage on Ability Checks with a chosen Ability.","https://bg3.wiki/wiki/Enhance_Ability"
"Enlarge/Reduce","2","Transmutation","Sorcerer; Wizard","Action","-","Range 9 m / 30ft","-","-","Make a creature larger or smaller. Either option has a duration of 10 turns. This affects their weapon damage and Strength Checks and Saving Throw Saving Throws.","https://bg3.wiki/wiki/Enlarge/Reduce"
"Enthrall","2","Enchantment","Bard; Warlock","Action","Duration 10 turns","Range 6 m / 20ft","WIS Save","-","Reduce a creature's peripheral vision and make it look at you.","https://bg3.wiki/wiki/Enthrall"
"Flame Blade","2","Evocation","Druid","Bonus Action","-","Range Self","-","-","Conjure a flaming Scimitar in your hand for 10 turns that deals 3d6 Fire damage. It sheds a bright light in a 3 m (10 ft) radius and a dim light in a 6 m (20 ft) radius. The blade can be unequipped and equipped again, but must stay on the spellcaster's person.","https://bg3.wiki/wiki/Flame_Blade"
"Flaming Sphere","2","Conjuration","Druid; Wizard","Action","-","Range 18 m / 60 ft Aoe 2m / 7ft (Radius)","DEX Save","2d6 Fire","Summon a Flaming Sphere that deals 2d6 Fire damage to nearby enemies and objects. It also sheds bright light in a 6 m (20 ft) radius, and dim light for an additional 6 m (20 ft). You can move the sphere. You can remain hidden while casting this spell.","https://bg3.wiki/wiki/Flaming_Sphere"
"Gust of Wind","2","Evocation","Druid; Eldritch Knight; Sorcerer; Wizard","Action","Duration 1 turn","Range Self Aoe 12m / 40ft","STR Save","-","Summon a strong wind that clears all clouds. Any creatures caught in the gale who fail a Strength Saving Throw will be pushed back 5 m (17 ft) and be thrown Off Balance.","https://bg3.wiki/wiki/Gust_of_Wind"
"Heat Metal","2","Transmutation","Bard; Druid","Action","-","Range 18 m / 60 ft","CON Save","2d8 Fire","Cause a metal weapon or armour to glow red-hot and force the wearer to let go or receive Disadvantage on Attack Roll Attack Rolls and Ability Checks. If the creature is only wearing metal armour, it always receives Disadvantage. If the creature is still touching the metal, you can use a bonus action on subsequent turns to deal another 2d8 Fire and force the creature to let go or receive Disadvantage.","https://bg3.wiki/wiki/Heat_Metal"
"Hold Person","2","Enchantment","Arcane Trickster; Bard; Cleric; Druid; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Hold a humanoid enemy still. They can't Move, Act, or React. Attacks from within 3 m (10 ft) are always Critical Hits. At the end of each turn, the affected creature can make a Wisdom Saving Throw Wisdom Saving Throw to end this condition.","https://bg3.wiki/wiki/Hold_Person"
"Invisibility","2","Illusion","Arcane Trickster; Bard; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Touch a creature to turn it Invisible. Attacks against it have Disadvantage. It attacks with Advantage. Invisibility ends early if the invisible entity attacks, casts another spell, interacts with an object, takes an action or bonus action, or is damaged. [ See Notes ] Prerequisite Condition ends early if the creature attacks or casts a spell.","https://bg3.wiki/wiki/Invisibility_(spell)"
"Knock","2","Transmutation","Bard; Sorcerer; Wizard","Action","-","Range 18 m / 60 ft","-","-","Unlock an object that is held shut by a mundane lock.","https://bg3.wiki/wiki/Knock"
