"feature","description","source_url"
"Bladesong","Bladesong is the signature ability of Bladesinging wizards.","https://bg3.wiki/wiki/Bladesong"
"Blessed Healer","Blessed Healer is a Life Domain Cleric passive feature that heals the Cleric whenever it heals someone other than itself for 2 + the spell's level⁠⁠Hit Points.","https://bg3.wiki/wiki/Blessed_Healer"
"Blight","Blight is a level 4 necromancy spell. It allows spellcasters to drain the moisture and vitality from a target creature using necromantic energy. It is especially effective versus plants.","https://bg3.wiki/wiki/Blight"
"Blindness","Blindness is a level 2 necromancy spell. It allows spellcasters to magically Blind a targeted hostile creature.","https://bg3.wiki/wiki/Blindness"
"Blink","Blink is a level 3 transmutation spell. It allows the spellcaster to travel to the Ethereal Plane, unassailable and unseen until they return.","https://bg3.wiki/wiki/Blink"
"Blur","Blur is a level 2 illusion spell. It blurs the spellcaster's body, making them harder to hit.","https://bg3.wiki/wiki/Blur"
"Boar Companion","Boar Companion is a variant of Ranger's Companion which is a Subclass Feature of Rangers learned immediately upon choosing the Beast Master subclass. This ability allows the Beast Master to call upon their animal companion to fight and aid them in combat.","https://bg3.wiki/wiki/Boar_Companion"
"Bolstering Magic: Boon","Bolstering Magic: Boon is a Wild Magic Barbarian class action. This ability gives bonuses to attack rolls and ability checks for up to a minute, once per long rest.","https://bg3.wiki/wiki/Bolstering_Magic%3A_Boon"
"Bolstering Magic: Level 1 Spell Slot","Bolstering Magic: Level 1 Spell Slot is a Wild Magic Barbarian class action. This ability recovers a level 1 spell slot for you or an ally, once per long rest.","https://bg3.wiki/wiki/Bolstering_Magic%3A_Level_1_Spell_Slot"
"Bolstering Magic: Level 2 Spell Slot","Bolstering Magic: Level 2 Spell Slot is a Wild Magic Barbarian class action. This ability recovers a level 2 spell slot for you or an ally, once per long rest.","https://bg3.wiki/wiki/Bolstering_Magic%3A_Level_2_Spell_Slot"
"Bolstering Magic: Level 3 Spell Slot","Bolstering Magic: Level 3 Spell Slot is a Wild Magic Barbarian class action. This ability recovers a level 3 spell slot for you or an ally, once per long rest.","https://bg3.wiki/wiki/Bolstering_Magic%3A_Level_3_Spell_Slot"
"Bone Chill","Bone Chill is a cantrip (Necromancy). It deals ⁠Necrotic damage and prevents the target from regaining Hit Points.","https://bg3.wiki/wiki/Bone_Chill"
"Boot of the Giants","Boot of the Giants is a Giant barbarian class action that allows them to send enemies flying with a swift kick.","https://bg3.wiki/wiki/Boot_of_the_Giants"
"Branding Smite","Branding Smite is a level 2 evocation spell. It allows spellcasters to cause their weapon to gleam with astral radiance, allowing them to mark targets with light, preventing them from turning Invisible.","https://bg3.wiki/wiki/Branding_Smite"
"Brutal Critical","Brutal Critical is a Barbarian passive feature. The barbarian makes their critical hits even deadlier.","https://bg3.wiki/wiki/Brutal_Critical"
"Burning Hands","Burning Hands is a level 1 evocation spell. It allows spellcasters to shoot a flaming cone from their fingertips and deal ⁠Fire damage to enemies.","https://bg3.wiki/wiki/Burning_Hands"
"Call Lightning","Call Lightning is a level 3 conjuration spell. It allows spellcasters to call down lightning to hit all targets within the area of effect. The spellcaster can also call down lightning repeatedly on subsequent turns.","https://bg3.wiki/wiki/Call_Lightning"
"Calm Emotions","Calm Emotions is a level 2 enchantment spell. It allows spellcasters to magically subdue intense emotions in targeted creatures. The affected target becomes neutral to the creatures it was hostile toward. It also cannot be Charmed or Frightened during the duration of the spell.","https://bg3.wiki/wiki/Calm_Emotions"
"Champion Challenge","Champion Challenge is a Channel Oath action available to Oath of the Crown paladins which penalizes the challenged target with Disadvantage on attacks when attacking anyone but the paladin.","https://bg3.wiki/wiki/Champion_Challenge"
"Charm Animals and Plants","Charm Animals and Plants is a class action available to Nature Domain clerics. This ability allows these clerics to reduce the aggressiveness of nearby fauna and flora.","https://bg3.wiki/wiki/Charm_Animals_and_Plants"
"Cheeky Tipple","Cheeky Tipple is a Way of the Drunken Master monk passive feature that prevents the effects of being intoxicated.","https://bg3.wiki/wiki/Cheeky_Tipple"
"Chill of the Mountain","Chill of the Mountain is an action that allows a Way of the Four Elements monk to hit with cold damage and reduce the movement speed of their opponent. This action is the monk's equivalent of Ray of Frost.","https://bg3.wiki/wiki/Chill_of_the_Mountain"
"Clench of the North Wind","Clench of the North Wind is an action that allows a Way of the Four Elements monk to cast their equivalent of Hold Person by expending Ki Points instead of spell slots.","https://bg3.wiki/wiki/Clench_of_the_North_Wind"
"Cloak of Shadows","Cloak of Shadows is a Way of Shadow monk class action. It allows a monk to enter the shadows and disappear from sight.","https://bg3.wiki/wiki/Cloak_of_Shadows"
"Cloud of Jellyfish","Cloud of Jellyfish is passive feature available to Swarmkeepers. It turns the Gathered Swarm into jellyfish that deal ⁠Lightning damage and can shock enemies. This feature can be switched out at level up.","https://bg3.wiki/wiki/Cloud_of_Jellyfish"
"Cloudkill","Cloudkill is a level 5 conjuration spell. It conjures a moveable cloud which damages and obscures everything it envelops.","https://bg3.wiki/wiki/Cloudkill"
"Coast","Coast is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels","https://bg3.wiki/wiki/Coast"
"Colossus Slayer","Colossus Slayer is a Hunter Ranger passive feature. This ability allows them to deal extra damage to targets whose Hit Points are below the maximum value.","https://bg3.wiki/wiki/Colossus_Slayer"
"Combat Inspiration","Combat Inspiration is a passive feature and class action available to College of Valour Bards. This ability is an enhanced version of Bardic Inspiration that adds the ability to increase the target's armour class or damage.","https://bg3.wiki/wiki/Combat_Inspiration"
"Combat Wild Shape","Combat Wild Shape is a Circle of the Moon druid bonus action that allows them to Wild Shape. They gain access to all base druid wild shape forms as well as their own exclusive forms.","https://bg3.wiki/wiki/Combat_Wild_Shape"
"Command","Command is a level 1 enchantment spell. It allows spellcasters to order their target to flee, move closer, freeze, drop to the ground, or drop their weapon.","https://bg3.wiki/wiki/Command"
"Companion's Bond","Companion's Bond is a Beast Master Ranger passive feature that enhances your companion.","https://bg3.wiki/wiki/Companion's_Bond"
"Compelled Duel","Compelled Duel is a level 1 enchantment spell. It allows spellcasters to compel an enemy to ignore other targets and attack only the spellcaster.","https://bg3.wiki/wiki/Compelled_Duel"
"Cone of Cold","Cone of Cold is a level 5 evocation spell. It allows spellcasters to blast icy air into a region in front of them, damaging affected creatures and turning existing Water surfaces into Ice Surfaces.","https://bg3.wiki/wiki/Cone_of_Cold"
"Confusion","Confusion is a level 4 enchantment spell. It allows the caster to confuse a group of creatures, drastically reducing their effectiveness in combat.","https://bg3.wiki/wiki/Confusion"
"Conjure Elemental","Conjure Elemental is a level 5 conjuration spell. It allows spellcasters to summon a Fire, Earth, Water, or Air Elemental.","https://bg3.wiki/wiki/Conjure_Elemental"
"Conjure Minor Elemental","Conjure Minor Elemental is a level 4 conjuration spell. It conjures 2 Mud Mephits, 2 Ice Mephits, or an Azer to fight for you.","https://bg3.wiki/wiki/Conjure_Minor_Elemental"
"Contagion","Contagion is a level 5 necromancy spell. It allows spellcasters to infect their target with an affliction of their choosing, potentially resulting in the target contracting a disease.","https://bg3.wiki/wiki/Contagion"
"Control Undead","Control Undead is a Channel Oath action available to those that have chosen the path of the Oathbreaker paladin. This ability allows these paladins to gain control over the undead.","https://bg3.wiki/wiki/Control_Undead"
"Controlled Chaos","Controlled Chaos is a Wild Magic Sorcerer reaction that triggers a Wild Magic effect after an enemy spellcaster casts a spell.","https://bg3.wiki/wiki/Controlled_Chaos"
"Cosmic Omen","Cosmic Omen is a passive feature that allows Circle of the Stars druids to consult the stars.","https://bg3.wiki/wiki/Cosmic_Omen"
"Create or Destroy Water","Create or Destroy Water is a level 1 transmutation spell. It allows spellcasters to conjure or destroy an area of water (or water-like surfaces).","https://bg3.wiki/wiki/Create_or_Destroy_Water"
"Crown of Madness","Crown of Madness is a level 2 enchantment spell. It allows spellcasters to temporarily charm a humanoid creature and induce madness in their mind. The affected creature then makes a melee attack against any creature aside from the caster within its reach.","https://bg3.wiki/wiki/Crown_of_Madness"
"Crusader's Mantle","Crusader's Mantle is a level 3 evocation spell. It allows spellcasters to imbue their allies' weapons with holy power, causing them to deal additional Radiant damage.","https://bg3.wiki/wiki/Crusader's_Mantle"
"Curving Shot","Curving Shot is an Arcane Archer fighter passive feature/reaction that allows the fighter to redirect a missed ranged weapon attack towards another nearby enemy.","https://bg3.wiki/wiki/Curving_Shot"
"Cutting Words","Cutting Words is a reaction available to the College of Lore bards. It allows them to distract and confuse their foes, potentially causing attacks to miss, or ability checks or saving throws to fail.","https://bg3.wiki/wiki/Cutting_Words"
"Dampen Elements","Dampen Elements is a Nature Domain cleric passive feature and reaction. This ability allows the cleric to use a reaction and grant the player or one of their companions receiving elemental damage Resistance to that type.","https://bg3.wiki/wiki/Dampen_Elements"
"Danger Sense","Danger Sense is a Barbarian passive feature that gives you Advantage on Dexterity Saving Throws against traps, Spells, and surfaces as long as you aren't Blinded or Incapacitated.","https://bg3.wiki/wiki/Danger_Sense"
"Dark One's Blessing","Dark One's Blessing is a passive feature unique to The Fiend Warlock subclass that gives the Warlock temporary Hit Points when killing hostile creatures.","https://bg3.wiki/wiki/Dark_One's_Blessing"
"Dark One's Own Luck","Dark One's Own Luck is a toggleable passive feature unique to The Fiend Warlock subclass that adds 1d10 to an Ability Check every Short Rest.","https://bg3.wiki/wiki/Dark_One's_Own_Luck"
"Darkness","Darkness is a level 2 evocation spell. It allows spellcasters to conjure a cloud of darkness in an area within range which obscures and inflicts Blindness to those within it.","https://bg3.wiki/wiki/Darkness"
"Daylight","Daylight is a level 3 evocation spell. It allows spellcasters to dispel darkness by summoning a sphere of light or enchanting an item to shine like the sun.","https://bg3.wiki/wiki/Daylight"
"Death Ward","Death Ward is a level 4 abjuration spell. It allows spellcasters to prevent a target from dying.","https://bg3.wiki/wiki/Death_Ward"
"Defensive Flourish (Melee)","Defensive Flourish (Melee) is a College of Swords bard weapon action. This flourish manoeuvre allows the bard to spend Bardic Inspiration to enter a defensive stance after making a melee weapon attack which increases Armour Class by 4.","https://bg3.wiki/wiki/Defensive_Flourish_(Melee)"
"Defensive Flourish (Ranged)","Defensive Flourish (Ranged) is a College of Swords bard weapon action. This flourish manoeuvre allows the bard to spend Bardic Inspiration to enter a defensive stance after making a ranged weapon attack which increases Armour Class by 4.","https://bg3.wiki/wiki/Defensive_Flourish_(Ranged)"
"Desert","Desert is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels.","https://bg3.wiki/wiki/Desert"
"Destroy Undead","Destroy Undead is a Cleric passive feature that deals 4d6⁠⁠Radiant damage to creatures affected by Turn Undead.","https://bg3.wiki/wiki/Destroy_Undead"
"Destructive Wave","Destructive Wave is a level 5 evocation spell. It allows the caster to create a massive shockwave that damages enemies and can possibly knock them prone.","https://bg3.wiki/wiki/Destructive_Wave"
"Destructive Wrath","Destructive Wrath is a reaction available to Tempest Domain clerics. This ability allows these clerics to maximise Thunder and Lightning damage rolls by expending a Channel Divinity Charge.","https://bg3.wiki/wiki/Destructive_Wrath"
"Detect Thoughts","Detect Thoughts is a level 2 divination spell. It allows spellcasters to telepathically link to unprotected minds and hear the thoughts of targeted creatures while talking to them.","https://bg3.wiki/wiki/Detect_Thoughts"
"Dimension Door","Dimension Door is a level 4 conjuration spell. It teleports the caster and an ally.","https://bg3.wiki/wiki/Dimension_Door"
"Dire Raven Companion","Dire Raven Companion is a variant of Ranger's Companion which is the signature Beast Master subclass feature. This ability allows the Beast Master to summon a raven companion to fight and aid them in combat. Only one beast companion of any time can be summoned at once.","https://bg3.wiki/wiki/Dire_Raven_Companion"
"Dirty Trick: Flick o' the Wrist","Dirty Trick: Flick o' the Wrist is a weapon action available only to Swashbuckler rogues.","https://bg3.wiki/wiki/Dirty_Trick%3A_Flick_o'_the_Wrist"
"Dirty Trick: Sand Toss","Dirty Trick: Sand Toss is a class action available to Swashbuckler rogues.","https://bg3.wiki/wiki/Dirty_Trick%3A_Sand_Toss"
"Dirty Trick: Vicious Mockery","Dirty Trick: Vicious Mockery is a cantrip (Enchantment). It is only available to Swashbuckler rogues.","https://bg3.wiki/wiki/Dirty_Trick%3A_Vicious_Mockery"
"Disguise Self","Disguise Self is a level 1 illusion spell. It allows spellcasters to temporarily change their appearance. While active, gain access to the action Dispel Disguise to end the effect.","https://bg3.wiki/wiki/Disguise_Self"
"Dissonant Whispers","Dissonant Whispers is a level 1 enchantment spell. It allows spellcasters to fill a target with terror and deal ⁠Psychic damage to them.","https://bg3.wiki/wiki/Dissonant_Whispers"
"Divine Allegiance","Divine Allegiance is a passive feature available to Oath of the Crown paladins which allows them to heal an adjacent ally when they take damage, at the cost of taking damage themselves.","https://bg3.wiki/wiki/Divine_Allegiance"
"Divine Intervention","Divine Intervention is a Cleric one-time free action that can perform one of several large-scale actions.","https://bg3.wiki/wiki/Divine_Intervention"
"Divine Strike: Elemental Fury","Divine Strike: Elemental Fury is a Nature Domain cleric weapon action and reaction that deals extra Cold, Fire, or Lightning damage upon a weapon strike (either melee or ranged).","https://bg3.wiki/wiki/Divine_Strike%3A_Elemental_Fury"
"Divine Strike: Necrotic","Divine Strike: Necrotic (Ranged) is a Death Domain cleric weapon action and reaction that deals extra necrotic damage upon a ranged weapon strike.","https://bg3.wiki/wiki/Divine_Strike%3A_Necrotic_(Ranged)"
"Divine Strike: Poison","Divine Strike: Poison (Melee) is a Trickery Domain cleric weapon action and reaction that deals extra poison damage upon a melee weapon strike.","https://bg3.wiki/wiki/Divine_Strike%3A_Poison_(Melee)"
"Divine Strike: Radiant","Divine Strike: Radiant (Melee) is a Life Domain cleric weapon action and reaction that deals extra radiant damage upon a melee weapon strike.","https://bg3.wiki/wiki/Divine_Strike%3A_Radiant_(Melee)"
"Divine Strike: Thunder","Divine Strike: Thunder is a Tempest Domain cleric weapon action and reaction that deals extra thunder damage upon a weapon strike (either melee or ranged).","https://bg3.wiki/wiki/Divine_Strike%3A_Thunder"
"Divine Strike: Weapon","Divine Strike: Weapon is a War Domain cleric weapon action and reaction that deals extra damage upon a weapon strike (either melee or ranged).","https://bg3.wiki/wiki/Divine_Strike%3A_Weapon"
"Dominate Beast","Dominate Beast is a level 4 enchantment spell. It allows spellcasters to temporarily charm a Beast into fighting alongside the caster, rather than against them.","https://bg3.wiki/wiki/Dominate_Beast"
"Dominate Person","Dominate Person is a level 5 enchantment spell. It allows spellcasters to force a humanoid to temporarily fight as an ally.","https://bg3.wiki/wiki/Dominate_Person"
"Draconic Resilience","Draconic Resilience is a Draconic Bloodline Sorcerer passive feature that raises the Sorcerer's base Armour Class to 13 when not wearing armour.","https://bg3.wiki/wiki/Draconic_Resilience"
"Dread Ambusher","Dread Ambusher is a Gloom Stalker Ranger passive feature that makes you deadly on the first turn of combat.","https://bg3.wiki/wiki/Dread_Ambusher"
"Dread Ambusher: Hide","Dread Ambusher: Hide is a Gloom Stalker Ranger bonus action. This ability allows Gloom Stalkers to use their bonus action to Hide from view.","https://bg3.wiki/wiki/Dread_Ambusher%3A_Hide"
"Dreadful Aspect","Dreadful Aspect is a Channel Oath action available to paladins that have chosen the path of the Oathbreaker. This ability allows these paladins to channel their dark emotions to frighten their enemies.","https://bg3.wiki/wiki/Dreadful_Aspect"
"Drunkard's Luck","Drunkard's Luck is a Way of the Drunken Master monk passive feature that allows them to succeed difficult rolls.","https://bg3.wiki/wiki/Drunkard's_Luck"
"Drunken Performance","Drunken Performance is a Way of the Drunken Master monk passive feature that grants Performance proficiency.","https://bg3.wiki/wiki/Drunken_Performance"
"Drunken Technique","Drunken Technique is a Way of the Drunken Master monk class action. It is an enhanced variant of Flurry of Blows that grants additional movement.","https://bg3.wiki/wiki/Drunken_Technique"
"Duelling","Duelling is a fighting style passive feature.","https://bg3.wiki/wiki/Duelling"
"Eldritch Strike","Eldritch Strike is an Eldritch Knight Fighter passive feature. This allows the Fighter to force a creature to have Disadvantage on its next Saving Throw by a mere weapon attack.","https://bg3.wiki/wiki/Eldritch_Strike"
"Elemental Affinity: Damage","Elemental Affinity: Damage is a Draconic Bloodline Sorcerer passive feature that adds extra damage based on your Charisma Modifier to every spell you cast so long as it is the same type as your bloodline.","https://bg3.wiki/wiki/Elemental_Affinity%3A_Damage"
"Elemental Affinity: Resistance","Elemental Affinity: Resistance is a Draconic Bloodline Sorcerer passive feature/reaction that grants you Resistance to the element matching your Draconic Bloodline","https://bg3.wiki/wiki/Elemental_Affinity%3A_Resistance"
"Elemental Cleaver","Elemental Cleaver is a Giant barbarian class action that allows them to add elemental damage to their weapons and gives them the Thrown property, as well as the ability to return once thrown.","https://bg3.wiki/wiki/Elemental_Cleaver"
"Elemental Weapon","Elemental Weapon is a level 3 transmutation spell. It imbues a weapon with a chosen energy type, increasing its damage and accuracy.","https://bg3.wiki/wiki/Elemental_Weapon"
"Embrace of the Inferno","Embrace of the Inferno is a class action that allows a Way of the Four Elements monk to cast their equivalent of Scorching Ray by expending Ki Points instead of spell slots.","https://bg3.wiki/wiki/Embrace_of_the_Inferno"
"Empowered Evocation","Empowered Evocation is an Evocation School Wizard passive feature which increases the damage of the caster's Evocation spells by their Intelligence modifier.","https://bg3.wiki/wiki/Empowered_Evocation"
"Enraged Throw","Enraged Throw is a Berserker barbarian bonus action. This ability allows the Berserker to make a ranged attack using nearby items or creatures.","https://bg3.wiki/wiki/Enraged_Throw"
"Ensnaring Strike","Ensnaring Strike is a level 1 conjuration spell. This spell allows spellcasters to use weapon attacks to ensnare enemies with thorny vines and deal ⁠Piercing damage to them each turn.","https://bg3.wiki/wiki/Ensnaring_Strike"
"Entropic Ward","Entropic Ward is a passive feature/reaction unique to The Great Old One Warlock subclass.","https://bg3.wiki/wiki/Entropic_Ward"
"Escape the Horde","Escape the Horde is a Hunter Ranger passive feature that allow you to more safely escape the reach of an enemy.","https://bg3.wiki/wiki/Escape_the_Horde"
"Evard's Black Tentacles","Evard's Black Tentacles is a level 4 conjuration spell. It summons tentacles in an area that make it difficult to move and harm creatures.","https://bg3.wiki/wiki/Evard's_Black_Tentacles"
"Evasion","Evasion is a Monk and Rogue passive feature that lets them evade area of effect damage which require Dexterity Saving Throws, reducing or entirely negating the damage.","https://bg3.wiki/wiki/Evasion"
"Exceptional Training","Exceptional Training is a Beast Master Ranger passive feature that enhances your companion. They can now take several common actions as bonus actions.","https://bg3.wiki/wiki/Exceptional_Training"
"Experimental Alchemy","Experimental Alchemy is a Transmutation School Wizard passive feature that enhances your mastery over alchemy. Whenever you combine extracts, you can brew two solutions instead of one provided you succeed a Medicine check.","https://bg3.wiki/wiki/Experimental_Alchemy"
"Expert Divination","Expert Divination is a Divination School Wizard passive feature which grants an additional Portent Die and allows its user to fulfill prophecies to restore any spent Portent Dice each short rest. These prophecies typically entail casting a spell from a specific school or dealing a specific type of damage.","https://bg3.wiki/wiki/Expert_Divination"
"Expertise","Expertise is a passive feature that allows a character to double their Proficiency bonus on Skills.","https://bg3.wiki/wiki/Expertise_(passive_feature)"
"Extra Attack","Extra Attack is a passive feature that allows you to make an additional attack when making an Attack Action.","https://bg3.wiki/wiki/Extra_Attack"
"Eyes of the Dark","Eyes of the Dark is a passive feature that prevents Disadvantage when attacking creatures in the dark within 24 m (80 ft), double the distance of normal Darkvision.","https://bg3.wiki/wiki/Eyes_of_the_Dark"
"Eyes of the Dark: Darkness","Eyes of the Dark: Darkness is a level 2 evocation spell. It creates a dark cloud that heavily obscures and blinds all creatures inside, while the caster also gains a condition to see in this darkness for the spell's duration.","https://bg3.wiki/wiki/Eyes_of_the_Dark%3A_Darkness"
"Faerie Fire","Faerie Fire is a level 1 evocation spell. It allows spellcasters to conjure brilliant light. Any creature caught in the radius temporarily sheds faint light and prevents Invisibility.","https://bg3.wiki/wiki/Faerie_Fire"
"Fancy Footwork","Fancy Footwork is a passive feature available to Swashbuckler rogues which prevents the targets of their melee attacks from taking opportunity attacks against them.","https://bg3.wiki/wiki/Fancy_Footwork"
"Fangs of the Fire Snake","Fangs of the Fire Snake is an action that allows a Way of the Four Elements monk to hit an enemy with an unarmed strike from range, dealing bonus 1d10⁠⁠Fire damage and buffing subsequent attacks with 1d4⁠⁠Fire damage.","https://bg3.wiki/wiki/Fangs_of_the_Fire_Snake"
"Fast Hands","Fast Hands is a Thief Rogue passive feature that grants an extra Bonus Action","https://bg3.wiki/wiki/Fast_Hands"
"Fast Movement","Fast Movement is a Barbarian passive feature that increases your Movement Speed by 3m / 10ft while not wearing Heavy Armour.","https://bg3.wiki/wiki/Fast_Movement"
"Fear","Fear is a level 3 illusion spell. It allows spellcasters to terrify targets by projecting phantasmal images, forcing enemies to flee.","https://bg3.wiki/wiki/Fear"
"Feral Instinct","Feral Instinct is a Barbarian passive feature. The barbarian is always ready for battle and can't be caught off-guard.","https://bg3.wiki/wiki/Feral_Instinct"
"Fey Presence","Fey Presence is an Archfey Warlock class action. This ability allows the Warlock to charm or frighten enemies at short range.","https://bg3.wiki/wiki/Fey_Presence"
"Fiendish Resilience","Fiendish Resilience is a free action unique to The Fiend warlock subclass that lets the warlock choose a damage type to be resistant to every Short Rest.","https://bg3.wiki/wiki/Fiendish_Resilience"
"Fighting Style (Choose 1)","A fighting style is a class feature available to multiple classes and subclasses, which increases their combat efficacy with certain weapons and armour. Once learned, fighting styles are permanently active and cannot be disabled. Respeccing with Withers can remove or change a chosen fighting style. Protection is the only Fighting Style which allows the character to choose whether or not it is applied, as a Reaction. Each fighting style can only be chosen once. The Champion Fighter is the only class/subclass in the game that is able to learn two fighting styles without multiclassing. If multiple fighting styles are learned, they all apply as normal. A character dual wielding Hand Crossbows with both Archery and Two-Weapon Fighting gains +2 to attack rolls with both weapons, and adds their Dexterity modifier to the off-hand weapon's damage.","https://bg3.wiki/wiki/Fighting_style"
"Fire Shield","Fire Shield is a level 4 evocation spell. It shields the spellcaster with luminous energy.","https://bg3.wiki/wiki/Fire_Shield"
"Fireball","Fireball is a level 3 evocation spell. It allows spellcasters to unleash a streak of fire from their hands which ignites into a large explosion at a chosen point within range.","https://bg3.wiki/wiki/Fireball"
"Fist of Four Thunders","Fist of Four Thunders is an action that allows a Way of the Four Elements monk to push creatures and objects away. It is the monk equivalent of Thunderwave.","https://bg3.wiki/wiki/Fist_of_Four_Thunders"
"Fist of Unbroken Air","Fist of Unbroken Air is an action that allows a Way of the Four Elements monk to punch an enemy at distance, sending them flying backwards.","https://bg3.wiki/wiki/Fist_of_Unbroken_Air"
"Flame Strike","Flame Strike is a level 5 evocation spell. It allows the caster to make a pillar of divine flame at a chosen location dealing 5d6⁠⁠Fire damage and 5d6⁠⁠Radiant damage.","https://bg3.wiki/wiki/Flame_Strike"
"Flames of the Phoenix","Flames of the Phoenix is an action that allows a Way of the Four Elements monk to cast their equivalent of Fireball by expending Ki Points instead of spell slots.","https://bg3.wiki/wiki/Flames_of_the_Phoenix"
