"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Gold Band","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Band is a common type of Ring. Primarily of use for bartering or sale to Traders.; A weighted gold ring embellished with emeralds of varying sizes. Simple, but elegant.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Gold Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; A date was once engraved on the inside of this ring, but most of it has long since been worn away by time.","https://bg3.wiki/wiki/Rings"
"Common","Onyx Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Onyx Ring is a Ring that can be sold for Gold or bartered to a Merchant.; This silver band is inlaid with onyx and tempered to a sharpened point. Beautiful, but dangerous.","https://bg3.wiki/wiki/Rings"
"Common","Onyx Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Onyx Ring is a Ring that can be sold for Gold or bartered to a Merchant.; This silver band is inlaid with onyx and tempered to a sharpened point. Beautiful, but dangerous.","https://bg3.wiki/wiki/Rings"
"Common","Peridot Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Peridot Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Considered sacred by some gnomes and halflings, the gem set in this ring sparkles brilliantly.","https://bg3.wiki/wiki/Rings"
"Common","Peridot Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Peridot Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Considered sacred by some gnomes and halflings, the gem set in this ring sparkles brilliantly.","https://bg3.wiki/wiki/Rings"
"Common","Polished Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Polished Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Each purple gemstone set in this thin silver band has been polished until it gleams.","https://bg3.wiki/wiki/Rings"
"Common","Polished Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Polished Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Each purple gemstone set in this thin silver band has been polished until it gleams.","https://bg3.wiki/wiki/Rings"
"Common","Ring of Being Really Invisible","None","0.05","2","","Emerald Grove X: 246 Y: 553: Sold by Mattis; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Common","Ring of Infinite Wishes","None","0.05","4","","Emerald Grove X: 246 Y: 553: Sold by Mattis; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Common","Ring of Murderous Opportunity","None","0.05","18","","Bhaal Temple X: 859 Y: -22: Carried by Orin","https://bg3.wiki/wiki/Rings"
"Common","Ring of Resistance to Ants","None","0.05","3","","Emerald Grove X: 246 Y: 553: Sold by Mattis","https://bg3.wiki/wiki/Rings"
"Common","Ring of the Lekinesus","None","0.05","3","","Emerald Grove X: 246 Y: 553: Sold by Mattis","https://bg3.wiki/wiki/Rings"
"Common","Ruby Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Ruby Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The setting around the ruby is chipped and scratched, as if somebody had tried to lever the gem free.","https://bg3.wiki/wiki/Rings"
"Common","Ruby Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Ruby Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The setting around the ruby is chipped and scratched, as if somebody had tried to lever the gem free.","https://bg3.wiki/wiki/Rings"
"Common","Ruby Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Ruby Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The setting around the ruby is chipped and scratched, as if somebody had tried to lever the gem free.","https://bg3.wiki/wiki/Rings"
"Common","Ruby Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant Ruby Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The setting around the ruby is chipped and scratched, as if somebody had tried to lever the gem free.","https://bg3.wiki/wiki/Rings"
"Common","Silver Band","None","0.05","18","","In chests and carried by characters throughout the game; Variant Silver Band is a Ring that can be sold for Gold or bartered to a Merchant.; Calishite emeralds are embedded in this heavy silver ring.","https://bg3.wiki/wiki/Rings"
"Common","Silver Band","None","0.05","18","","In chests and carried by characters throughout the game; Variant Silver Band is a Ring that can be sold for Gold or bartered to a Merchant.; Calishite emeralds are embedded in this heavy silver ring.","https://bg3.wiki/wiki/Rings"
"Common","Tarnished Ring","None","0.05","40","","Carried by Derryth Bonecloak","https://bg3.wiki/wiki/Rings"
"Common","Tarnished Ring","None","0.05","40","","Carried by Derryth Bonecloak","https://bg3.wiki/wiki/Rings"
"Common","Tarnished Wedding Ring","None","0.05","14","","Beehive General Goods X: -1946 Y: 625: In a wall safe in the basement, unlocked using Tefoco's Basement Chest Key","https://bg3.wiki/wiki/Rings"
"Common","Tourmaline Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Tourmaline Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; A slim-fitting silver band, decorated with a mint green gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Tourmaline Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Tourmaline Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; A slim-fitting silver band, decorated with a mint green gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Tourmaline Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Tourmaline Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; A slim-fitting silver band, decorated with a mint green gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Tourmaline Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant A Tourmaline Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; A slim-fitting silver band, decorated with a mint green gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Verdelite Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant Verdelite Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Encased in delicately twisted gold, this seafoam green stone is of the tourmaline variety.","https://bg3.wiki/wiki/Rings"
"Common","Verdelite Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant Verdelite Ring is a common type of Ring. Primarily of use for bartering or sale to Traders.; Encased in delicately twisted gold, this seafoam green stone is of the tourmaline variety.","https://bg3.wiki/wiki/Rings"
"Uncommon","Bracing Band","None","0.05","40","Personal Space; After shoving an enemy[See Notes], the wearer gains a +1 to their Armour Class until their next turn.","Grymforge X: -628 Y: 320: Rewarded by Sergeant Thrinn after returning her boots in the quest Find the Missing Boots","https://bg3.wiki/wiki/Rings"
"Uncommon","Callous Glow Ring","None","0.05","40","Callous Glow; The wearer deals an additional 2 points of Radiant[See: Bugs] damage against creatures that are illuminated.","Gauntlet of Shar X: -821 Y: -752: In an opulent chest in the vault room near Balthazar","https://bg3.wiki/wiki/Rings"
"Uncommon","Caustic Band","None","0.05","40","Malefic Excretion; Your weapon attacks also deal 2 Acid damage.","Ebonlake Grotto X: -55 Y: -93: Sold by Derryth Bonecloak in the Underdark","https://bg3.wiki/wiki/Rings"
"Uncommon","Coruscation Ring","None","0.05","40","Arcane Radiance; When the wearer deals spell damage while illuminated by a light source, they also inflict Radiating Orb upon the target for 2 turns.","Last Light Inn X: 44 Y: -734: in a trapped heavy chest in the cellar of the Last Light Inn","https://bg3.wiki/wiki/Rings"
"Uncommon","Crusher's Ring","None","0.05","40","Movement Speed increased by 3 m (10 ft).","Goblin Camp X: -70 Y: 439: Worn by Crusher","https://bg3.wiki/wiki/Rings"
"Uncommon","Djinni Ring","None","0.05","65","Mage Hand; Cast as a cantrip ( Recharge: Short rest.)","Circus of the Last Days X: -67 Y: -73: Worn by Akabi, the Djinni","https://bg3.wiki/wiki/Rings"
"Uncommon","Eversight Ring","None","0.05","40","Blind Immunity; The wearer cannot be Blinded.","House of Healing Morgue X: 9 Y: -981: In a locked opulent chest in the corner of the morgue lab west of the zombie crypt","https://bg3.wiki/wiki/Rings"
"Uncommon","Explorer's Ring","None","0.05","40","Nature +1; Survival +1","Dread Hollow X: -12 Y: -50: On a skeleton on a ledge above the Bibberbang in the Bibberbang Grotto section of Dread Hollow","https://bg3.wiki/wiki/Rings"
"Uncommon","Family Ring","None","0.05","65","Death Saving Throws +2","Ruined Battlefield X: 108 Y: 128: In a burrow, down the cliff from Ellie May's grave and the camp","https://bg3.wiki/wiki/Rings"
"Uncommon","Firzu's Ring of Trading","None","0.05","40","Deception +1","House of Healing Morgue X: 82 Y: -1006: On a charred corpse in the hidden room immediately south of the entrance hall; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Uncommon","Guild Ring","None","0.05","40","","Carried by Tusgront in the Lower City at X: 58 Y: -102; In a locked wooden chest ( DC 15 Sleight of Hand Check) in the Lower City at X: 58 Y: -102; In the basement of the same house, in a trapped chest ( DC 15 Sleight of Hand Check) hidden behind a pressure-plate activated false wall at X: -2325 Y: 1056","https://bg3.wiki/wiki/Rings"
"Uncommon","Mage's Friend","None","0.05","40","Arcana +1; Religion +1","Arcane Tower X: -34 Y: -274: in a chest at the foot of the bed on the third floor; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Uncommon","Poisoner's Ring","None","0.05","40","Virulent Venom; Point your ringed finger at a target to make it vulnerable to Poison damage, unless it is immune to Poison damage. ( Recharge: Long rest.)","Moonrise Towers X: -174 Y: -179: Sold by Roah Moonglow on the main floor","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Absolute Force","None","0.05","40","Thunderwave; Cast as a level 1 spell ( Recharge: Short rest.); Absolute's Tempest; If the wearer bears the Absolute's Brand, they deal 1 additional Thunder damage with Thunder damage spells and attacks.","Grymforge X: -628 Y: 320: Carried by Sergeant Thrinn","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Colour Spray","None","0.05","40","Colour Spray; Cast as a level 1 spell ( Recharge: Short rest.)","Secluded Cove X: 326 Y: 495: In the Harpy Nest to the south of the harpy encounter","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Elemental Infusion","None","0.05","40","Elemental Infusion; When you deal Acid, Cold, Fire, Lightning, or Thunder damage using a Spell or a Cantrip, that element infuses your weapon. Until the end of your next turn, you deal an additional 1d4 damage of that element on your first successful weapon attack.","Crèche Y'llek X: 1303 Y: -798: Worn by Gish Umr'a'ac in the southern section of the Infirmary","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Flinging","None","0.05","40","Throwing Boost; The wearer gains a 1d4 bonus to Throw damage.","The Hollow X: 205 Y: 516: Sold by Arron next to the Silvanus statue","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Geniality","None","0.05","40","Persuasion +1; Deception +1","Last Light Inn X: -56 Y: 133: Sold by Barcus Wroot at his workshop; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Jumping","None","0.05","55","Enhance Leap; Cast as a level 1 spell ( Recharge: Short rest.)","Ebonlake Grotto X: -55 Y: -93: Sold by Derryth Bonecloak in the Underdark","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Mental Inhibition","None","0.05","40","Mental Inhibition; When a foe fails a Saving Throw against one of your spells or actions, they gain Mental Fatigue for 2 turns.","House in Deep Shadows X: 76 Y: 40: in a locked chest, just east of the Waypoint of the Shadowed Battlefield","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Salving","None","0.05","40","Saviour's Allure; You restore an additional 2 hit points every time you heal another creature.","Ebonlake Grotto X: 144 Y: 29: Sold by Omeluum after completing the quest Help Omeluum Investigate the Parasite","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Self Immolation","None","0.05","40","Self Immolation; Set yourself on fire to gain Heat. ( Recharge: Short rest.)","Ruined Battlefield X: 29 Y: 63: In a locked wooden chest in the tower north of the Shadow-Cursed Shambling Mound ambush","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Shadows","None","0.05","70","Pass Without Trace; Call forth a veil of shadow and silence that gives you and nearby allies a +10 bonus to Stealth checks. ( Recharge: Long rest.)","House in Deep Shadows X: 76 Y: 37: Rewarded by Oliver, for playing both rounds of hide and seek with him (regardless of winning or losing)","https://bg3.wiki/wiki/Rings"
"Uncommon","Ring of Spiteful Thunder","None","0.05","40","Spiteful Thunder; When the wearer deals damage[See: Bugs] to a Reverberating creature, it becomes Dazed unless it succeeds a Constitution saving throw.","Moonrise Towers X: -174 Y: -179: Sold by Roah Moonglow on the main floor","https://bg3.wiki/wiki/Rings"
"Uncommon","Seemingly Gleaming Ring","None","0.05","45","Charisma Saving Throws +1; Wisdom Saving Throws -1","Carm's Garms X: 23 Y: 131: Reward by Naaber in Wyrm's Crossing, for initiating a conversation with him multiple times until all dialogue options are exhausted","https://bg3.wiki/wiki/Rings"
"Uncommon","Shadow Blade Ring","None","0.05","105","Shadow Blade; Cast as a level 2 spell ( Recharge: Short rest.)","Campsite (Act Two): Rewarded by Arabella for completing the quest Find Arabella's Parents","https://bg3.wiki/wiki/Rings"
"Uncommon","Shadow-Cloaked Ring","None","0.05","40","Shadowthief; The wearer's weapon and unarmed attacks deal an additional 1d4 damage against Lightly or Heavily Obscured creatures, and creatures made of shadow.","Ruined Battlefield X: -49 Y: 36: Carried by Shadow Mastiff Alpha in a cursed camp north of the ruined pottery","https://bg3.wiki/wiki/Rings"
"Uncommon","Shapeshifter's Boon Ring","None","0.05","70","Shapeshifter's Boon; While shapeshifting or disguising yourself, gain a +1d4 bonus to all Ability checks.","Emerald Grove X: 217 Y: 540: Carried by the Strange Ox in the Druid Grove; Last Light Inn X: -28 Y: 170: Carried by the Strange Ox at Dammon's blacksmith; Rivington X: 39 Y: -149: Reward for completing Help the Devilish Ox or looted from Strange Ox","https://bg3.wiki/wiki/Rings"
"Uncommon","Smuggler's Ring","None","0.05","40","Stealth +2; Sleight of Hand +2; Charisma -1","The Risen Road X: 58 Y: 516: On a skeleton, hidden in a bush on the lower path following the river, near the broken bridge section; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Uncommon","Snowburst Ring","None","0.05","40","Snowburst; When the wearer deals Cold damage, they also create a 4.5 m (15 ft) circle of Ice around the target(s).","Last Light Inn X: -80 Y: 158: Inside a loose plank in the bedroom north of the bar","https://bg3.wiki/wiki/Rings"
"Uncommon","Spurred Band","None","0.05","40","Frantic Urgency; During combat, when the wearer starts their turn with 50% Hit Points or less, they gain Momentum for 1 turn.","Whispering Depths X: -495 Y: -365: on a skeleton with a backpack nearby","https://bg3.wiki/wiki/Rings"
"Uncommon","Strange Conduit Ring","None","0.05","40","Strange Conduit; When Concentrating on a spell, the wearer's weapon attacks deal an additional 1d4 Psychic damage.","Crèche Y'llek X: 1360 Y: -657: Inside an elegant chest in the Inquisitor's Chamber","https://bg3.wiki/wiki/Rings"
"Uncommon","Sunwalker's Gift","None","0.05","40","Sunwalker's Gift; The wearer can see in the dark up to 12 m / 40 ft.","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg","https://bg3.wiki/wiki/Rings"
"Uncommon","Tarnished Ring","None","0.05","40","","Carried by Derryth Bonecloak","https://bg3.wiki/wiki/Rings"
"Uncommon","The Sparkswall","None","0.05","40","Resistance to Lightning damage.; Spark Blocker; The wearer can't be Electrocuted.","Arcane Tower X: 163 Y: -432: In a gilded chest on the upper level of the Arcane Tower's basement","https://bg3.wiki/wiki/Rings"
"Uncommon","The Whispering Promise","None","0.05","40","Blessed Mercy; When you heal a creature, it gains a +1d4 bonus to Attack rolls and Saving throws for 2 turns.","Goblin Camp X: -99 Y: 424: Sold by Grat the Trader; Sacred Pool X: 260 Y: 510: Sold by Volo; Camp: Sold by Volo","https://bg3.wiki/wiki/Rings"
"Rare","After Death Do Us Part","None","0.05","70","After Death Do Us Part; When the wearer is Downed, they rise once more with half their Hit Points restored, but are gripped by Shadow Possession.","Lady Jannath's Estate X: -250 Y: -44: Carried by Oskar Fevras","https://bg3.wiki/wiki/Rings"
"Rare","Band of the Mystic Scoundrel","None","0.05","190","Illusion Quickening; After hitting a creature with a weapon attack, you can cast illusion or enchantment spells as a Bonus Action.","Jungle X: -1566 Y: -1522: In a backpack","https://bg3.wiki/wiki/Rings"
"Rare","Fetish of Callarduran Smoothhands","None","0.05","70","Invisibility; Cast as a level 2 spell ( Recharge: Long rest.)","Grymforge X: -610 Y: 408: On one of the dead deep gnomes that a pair of duergar are throwing into the lake","https://bg3.wiki/wiki/Rings"
"Rare","Keepsake Ring","None","0.05","190","Dominate Beast; Cast as a level 5 spell ( Recharge: Long rest.)","Elfsong Tavern X: -859 Y: 531: In the Basement, in the middle of the room with the rats.; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Arcane Synergy","None","0.05","70","Synergetic Cantrips; When you deal damage with a Cantrip, you gain Arcane Synergy for 2 turns.","Crèche Y'llek X: 1359 Y: -831: Worn by Gish Far'aag; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Blink","None","0.05","190","Blink; Cast as a level 3 spell ( Recharge: Long rest.)","Open Hand Temple X: -45 Y: -5: Reward from Tara, on the roof of the temple","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Exalted Marrow","None","0.05","70","Exhort the Risen; Cast as a level 1 spell ( Recharge: Long rest.); Ghoulish Touch; Cast as a level 1 spell ( Recharge: Long rest.)","Moonrise Towers Rooftop X: -153 Y: -170: In a heavy chest at the altar","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Free Action","None","0.05","160","Unwavering; You ignore the effects of Difficult Terrain, and cannot be Paralysed or Restrained.","Moonrise Towers X: -128 Y: -193: Sold by Araj Oblodra on the main floor; Lower City X: -92 Y: -78: Sold by Araj Oblodra in Crimson Draughts if not acquired from her in Act Two","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Mind-Shielding","None","0.05","70","Shelter; You have Advantage on Saving throws against Charmed.","Ebonlake Grotto X: 144 Y: 29: Offered by Omeluum upon completion of the quest Help Omeluum Investigate the Parasite","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Poison Resistance","None","0.05","40","Resistance to Poison damage.","Shattered Sanctum X: 338 Y: 14: On a skeleton inside an opened sarcophagus just before the Worg Pens area","https://bg3.wiki/wiki/Rings"
