"rarity","item","armour_type","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Lonely Left Boot of Elvenkind","Non-Armour","None","0.55","5","","Circus of the Last Days X: -68 Y: -73: Given as a consolation prize by Akabi after failing to win the jackpot at the Wheel of Fortune","https://bg3.wiki/wiki/Footwear"
"Common","Monastic Boots","Non-Armour","None","0.55","5","","Starting boots for Monks","https://bg3.wiki/wiki/Footwear"
"Common","Plain Boots","Non-Armour","None","0.55","15","","","https://bg3.wiki/wiki/Footwear"
"Common","Quite Fashionable Boots","Non-Armour","None","0.55","5","","Heapside Prison X: -1266 Y: 744: On a table in the south-eastern room; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Footwear"
"Common","Simple Boots","Non-Armour","None","0.55","5","","Starting boots for Sorcerers, Warlocks and Wizards; Worn by many characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Smarmy Swaggerer Boots","Non-Armour","None","0.55","15","","Lower City X: -213 Y: -17: Near a picnic basket on the small ruined dock behind Elerrathin's Home; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Footwear"
"Common","Soft and Comfortable Shoes","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Stiffly-Shod Boots","Non-Armour","None","0.55","15","","","https://bg3.wiki/wiki/Footwear"
"Common","Thin-Soled Shoes","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Tidy Slender Boots","Non-Armour","None","0.55","15","","Guildhall X: -40 Y: 773: In a cupboard in Nine-Fingers Keene's Office; Circus of the Last Days X: -32 Y: -51: In a backpack","https://bg3.wiki/wiki/Footwear"
"Common","Tough Shoes","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Tough-Soled Shoes","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Uncommon","Boots of Aid and Comfort","Non-Armour","None","0.55","70","The Comeback; When the wearer heals a target, it gains an additional 3 temporary hit points.","Goblin Camp X: -99 Y: 424: Sold by Grat the Trader","https://bg3.wiki/wiki/Footwear"
"Uncommon","Boots of Stormy Clamour","Non-Armour","None","0.55","70","Arcane Echomalefaction; When the wearer inflicts a condition upon a hostile creature, they also inflict 2 turns of Reverberation.[See: Bugs]","Ebonlake Grotto X: 144 Y: 29: Sold by Omeluum after completing the quest Help Omeluum Investigate the Parasite","https://bg3.wiki/wiki/Footwear"
"Uncommon","Boots of Very Fast Blinking","Non-Armour","None","0.55","1","Disrobing Blinkstep; You teleport to an unoccupied space you can see. However, your clothes do not teleport with you. ( Recharge: Per turn.)","Circus of the Last Days X: -68 Y: -73: Given as a consolation prize by Akabi after failing to win the jackpot at the Wheel of Fortune","https://bg3.wiki/wiki/Footwear"
"Uncommon","Cinder Shoes","Non-Armour","None","0.55","70","Cinders; Whenever you Burn an enemy, you gain 2 turns of Heat.","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg","https://bg3.wiki/wiki/Footwear"
"Uncommon","Hoarfrost Boots","Non-Armour","None","0.55","70","Hoarfrost Balance; You cannot fall Prone while traversing Icy terrain.","Crèche Y'llek X: 1335 Y: -660: Inside a display case in the Inquisitor's Chamber","https://bg3.wiki/wiki/Footwear"
"Uncommon","Mystra's Grace","Non-Armour","None","0.55","70","Feather Fall; Cast as a level 1 spell at will.","Arcane Tower X: -36 Y: -265: In the Chest of the Mundane on the northern balcony of the tower's third floor, the same level as the arcane turrets","https://bg3.wiki/wiki/Footwear"
"Uncommon","Spiderstep Boots","Non-Armour","None","0.55","70","Spider Step; Immune to being Enwebbed. Your Movement Speed is not affected by Web surfaces.","Whispering Depths X: -514 Y: -411: In a heavy chest in the Arachnomancer's lab","https://bg3.wiki/wiki/Footwear"
"Uncommon","Tyrannical Jackboots","Non-Armour","None","0.55","100","Scintillating; You gain a +1 bonus to Charisma Ability checks and Saving throws.","Wyrm's Rock Fortress X: -26 Y: 211: Worn by Enver Gortash","https://bg3.wiki/wiki/Footwear"
"Uncommon","Varsh Ko'kuu's Boots","Non-Armour","None","0.55","70","Caretaker's Care; Acidic surfaces don't affect you, and you are Resistant to Acid damage.","Crèche Y'llek X: 1288 Y: -759: Acquired from Varsh Ko'kuu in the Hatchery","https://bg3.wiki/wiki/Footwear"
"Rare","Acrobat Shoes","Non-Armour","None","0.55","35","Acrobatics +1; Advantage on Dexterity Saving Throws.","Last Light Inn X: -56 Y: 133: Sold by Barcus Wroot at his workshop","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Apparent Death","Non-Armour","None","0.55","190","Feign Death ( + ); Cast as a level 3 spell ( Recharge: Short rest.)","Reithwin Graveyard X: -165 Y: 45: In a sarcophagus behind the locked grated iron doors","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Arcane Bolstering","Non-Armour","None","0.55","190","Rapid Caster; Each time they Dash, the wearer gains Arcane Charge for 2 turns.","Moonrise Towers X: -128 Y: -193: Sold by Araj Oblodra on the main floor; Lower City X: -92 Y: -78: Sold by Araj Oblodra in Crimson Draughts if not acquired from her in Act Two","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Brilliance","Non-Armour","None","0.55","190","Restore Bardic Inspiration; Play your instrument to restore one of your Bardic Inspiration slots. ( Recharge: Long rest.)","Gauntlet of Shar X: -632 Y: -723: In a heavy chest in the room just north of Yurgir","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Genial Striding","Non-Armour","None","0.55","190","Genial Strider; The wearer's Movement Speed is unimpeded by Difficult Terrain.","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Speed","Non-Armour","None","0.55","190","Click Heels; Click the heels of your boots to gain speed and freedom of movement.","Ebonlake Grotto X: 82 Y: -97: Worn by Thulla","https://bg3.wiki/wiki/Footwear"
"Rare","Boots of Uninhibited Kushigo","Non-Armour","None","0.55","190","Experienced And Deadly; The wearer deals additional damage equal to their Wisdom Modifier with unarmed strikes.","Astral Plane X: -163 Y: -1158: Carried by Prelate Lir'i'c, as entering Act Three","https://bg3.wiki/wiki/Footwear"
"Rare","Evasive Shoes","Non-Armour","None","0.55","95","Acrobatics +1; Armour Class +1","Last Light Inn X: -56 Y: 141: Sold by Mattis","https://bg3.wiki/wiki/Footwear"
"Rare","Linebreaker Boots","Non-Armour","None","0.55","190","Adrenaline Rush; When you Dash you gain Wrath for 3 turns.[See: Bugs]","Worg Pens X: 379 Y: -39: Worn by Beastmaster Zurk","https://bg3.wiki/wiki/Footwear"
"Rare","Slinging Shoes","Non-Armour","None","0.55","35","Dexterity Saving Throws +1; Shoe Slinger; Returns to its owner when thrown. On a hit deal an additional 2d4 Psychic damage.","Highberry's Home X: -1 Y: -39: Sold by Tara on the roof","https://bg3.wiki/wiki/Footwear"
"Rare","Spaceshunt Boots","Non-Armour","None","0.55","190","Dimension Door ( + ); Cast as a level 4 spell ( Recharge: Long rest.)","Highberry's Home X: 20 Y: -34: Worn by Dolor the assassin","https://bg3.wiki/wiki/Footwear"
"Rare","Springstep Boots","Non-Armour","None","0.55","190","Swift Strides; When the wearer Dashes or takes a similar action during combat, they gain Momentum for 3 turns.","Shattered Sanctum X: 296 Y: 71: in the treasure room behind Dror Ragzlin's throne","https://bg3.wiki/wiki/Footwear"
"Rare","Swiresy Shoes","Non-Armour","None","0.55","35","Acrobatics +1; Refined Vaulting; Jump distance is increased by 1.5 m (5 ft).","Goblin Camp X: -99 Y: 424: Sold by Grat the Trader","https://bg3.wiki/wiki/Footwear"
"Rare","The Watersparkers","Non-Armour","None","0.55","190","Electrify Water; When the wearer stands in Water during combat, it becomes Electrified Water.; Watersparks; If the wearer starts their turn on an Electrified Water surface, they gain 3 Lightning Charges.","Shattered Sanctum: In a gilded chest in Minthara's area of the Shattered Sanctum X: 339 Y: 41","https://bg3.wiki/wiki/Footwear"
"Very Rare","Bonespike Boots","Non-Armour","None","0.55","70","Brutal Leap ( + ); Leap at a target and possibly knock it Prone. ( Recharge: Per turn.); Evasive Instinct; You have a +1 bonus to Armour Class and Saving Throws as long as you are not wearing armour or holding a shield.; Refined Vaulting; Jump distance is increased by 1.5 m (5 ft).","Western Beach X: -233 Y: 84: In wooden chest X: -1340 Y: -857 in a secluded passageway at the far end of the western trail leading away from the South Span Checkpoint in Rivington","https://bg3.wiki/wiki/Footwear"
"Very Rare","Helldusk Boots","Non-Armour","None","2","450","Hellcrawler; Teleport to an area and deal 2d8Fire damage where you land. The impact blast spreads in a 3 m / 10 ft zone. ( Recharge: Short rest.); Steadfast; You cannot be forcibly moved by a foe's spells or actions, and you ignore the effects of Difficult Terrain.; Infernal Evasion; When you fail a Saving Throw, you may use your Reaction to succeed instead.","Wyrm's Rock Fortress X: -32 Y: 219: In a locked Gilded Chest on the top floor","https://bg3.wiki/wiki/Footwear"
"Story","Disintegrating Night Walkers","Non-Armour","None","0.55","360","Misty Step; Cast as a level 2 spell ( Recharge: Short rest.); Night Walker; The affected creature cannot be Enwebbed, Entangled, or Ensnared and cannot slip on Grease or Ice.","Grymforge X: -854 Y: 780: Worn by Nere","https://bg3.wiki/wiki/Footwear"
"Common","Dreamsome Boots","Medium","Medium Armour","2","30","Athletics +1","Worn by Dream Guardians in the final fight scenario","https://bg3.wiki/wiki/Footwear"
"Common","Githyanki Boots","Medium","Medium Armour","2","30","Athletics +1","Worn by Lae'zel","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Metallic Boots","Medium","Medium Armour","2","30","Athletics +1","Sold by the following traders: Dammon in the Druid Grove; Roah Moonglow in the Shattered Sanctum; Worn by several characters throughout the game","https://bg3.wiki/wiki/Footwear"
"Common","Oathbreaker Knight Boots","Medium","Medium Armour","2","30","Athletics +1","In the Under Temple Cave Area at X: 62 Y: -1027; Worn by Oathbreaker Knights Hirelings; Worn by Oathbreaker Knight","https://bg3.wiki/wiki/Footwear"
"Uncommon","Boots of Elemental Momentum","Medium","Medium Armour","2","90","Athletics +1; Elemental Momentum; Whenever the wearer deals Acid, Cold, Fire, Lightning or Thunder damage with Spells or Cantrip, they gain Momentum for 2 turns.","Rosymorn Monastery Trail X: -43 Y: -129: Sold by Lady Esther, north-east of the Trielta Crags waypoint","https://bg3.wiki/wiki/Footwear"
"Uncommon","Boots of Striding","Medium","Medium Armour","2","90","Athletics +1; Focused Stride; When you cast a spell that requires Concentration, you gain Momentum for 1 turn. While you are concentrating, you cannot be knocked Prone or moved against your will.","Shattered Sanctum X: 335 Y: 43: Worn by Minthara","https://bg3.wiki/wiki/Footwear"
"Rare","Blackguard's Greaves","Medium","Medium Armour","2","640","Athletics +1; Strider Movement; You gain Longstrider.","Murder Tribunal X: -1292 Y: 505: Worn by the death knight That Which Lurks","https://bg3.wiki/wiki/Footwear"
"Rare","Dark Justiciar Boots","Medium","Medium Armour","2","240","Dexterity Saving Throws +1; Shadow Teleportation; Teleport to an unoccupied, obscured spot. ( Recharge: Short rest.)","Shadowfell X: -604 Y: -1431: Rewarded to Shadowheart for killing the Nightsong","https://bg3.wiki/wiki/Footwear"
"Rare","The Speedy Lightfeet","Medium","Medium Armour","2","240","Athletics +1; Speedy Sparks; When the wearer Dashes or takes a similar action in combat, they gain 3 Lightning Charges","Blighted Village X: -711 Y: -412: In a heavy chest in the cellar behind the windmill","https://bg3.wiki/wiki/Footwear"
"Rare","Unwanted Masterwork Greaves","Medium","Medium Armour","2","240","Athletics +1","Forge of the Nine X: 393 Y: 763: In a gilded chest in the basement","https://bg3.wiki/wiki/Footwear"
"Rare","Vital Conduit Boots","Medium","Medium Armour","2","240","Athletics +1; Vital Conduit; Grants the wearer 8 temporary hit points when they cast a Spell that requires Concentration.","Crèche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Footwear"
"Very Rare","Boots of Persistence","Medium","Medium Armour","2","1300","Dexterity Saving Throws +1; Legendary Mobility; You gain Freedom of Movement and Longstrider.","Forge of the Nine X: 5 Y: -7: Sold by Dammon in the Lower City","https://bg3.wiki/wiki/Footwear"
"Very Rare","Boots of Psionic Movement","Medium","Medium Armour","2","450","Dexterity Saving Throws +1; Githborn: Flying Boots; Cast as a level 3 spell ( Recharge: Long rest.); Flying Strike; When a githyanki casts Fly, their next melee weapon attack deals an additional 1d4 Psychic damage.","Knights of the Shield Hideout X: -731 Y: 553: Worn by Ch'r'ai Har'rak","https://bg3.wiki/wiki/Footwear"
