"rarity","item","price_gp","special","where_to_find","source_url"
"Common","Pearl Necklace","35","","The Counting House: In high security vault nº4; Variant A Pearl Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Dozens of tiny pearls adorn this necklace, knotted in place by clever gnomish hands.","https://bg3.wiki/wiki/Amulets"
"Common","Pearl Necklace","35","","The Counting House: In high security vault nº4; Variant A Pearl Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Dozens of tiny pearls adorn this necklace, knotted in place by clever gnomish hands.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Polished Necklace","35","","The Counting House: In Vault nº6; Western Beach X: -233 Y: 84: In the passageway; Elfsong Tavern X: 65 Y: 2: Sold by Doora Thumbfoot; Variant Polished Necklace is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; It is said that wearing a ruby near the heart will increase a lover's courage.","https://bg3.wiki/wiki/Amulets"
"Common","Rocky's Dog Collar","20","","Durinbold Mausoleum X: 1207 Y: 797: Carried by Houndmaster Pol","https://bg3.wiki/wiki/Amulets"
"Common","Selûnite Amulet","20","","Last Light Inn: in a cupboard in Isobel's room; Moonrise Towers: in a bedside cabinet in Isobel's room at X: -173 Y: -199; Stormshore Tabernacle: next to Selûne's statue at X: 101 Y: -27; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Silver Amulet","25","","The Counting House: In High Security Vault nº3; Variant Silver Amulet is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; Chunky and a little dated, but made entirely of hammered silver.","https://bg3.wiki/wiki/Amulets"
"Common","Silver Amulet","25","","The Counting House: In High Security Vault nº3; Variant Silver Amulet is a common amulet with no magical enchantment, simply serving as valuable clutter for the player to sell.; Chunky and a little dated, but made entirely of hammered silver.","https://bg3.wiki/wiki/Amulets"
"Common","Silver Locket","20","","Carried by an Abducted Nobleman at the Nautiloid Wreck X: 230 Y: 271; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Silver Necklace","25","","Throughout the game as set-dressing and random loot; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Silver Necklace","25","","Throughout the game as set-dressing and random loot; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Brass Locket (Common)","20","","Lady Jannath's Estate X: -262 Y: -60: in the ashes of the fireplace on the ground floor; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Tarnished Locket","20","","Blighted Village X: 2 Y: 365: Worn by the Dead Tiefling, who Lump the Enlightened, Chock and Fank are feasting on in the Blighted Village; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Tarnished Pendant","20","","Nortale's Hostel X: 96 Y: -62: On top of a rustic chest upstairs; Variant Tarnished Pendant is a common Amulet. It has no enchantments.; Spots of crumbling green patina are slowly eating away at this once-bronze pendant.","https://bg3.wiki/wiki/Amulets"
"Common","Tarnished Pendant","20","","Nortale's Hostel X: 96 Y: -62: On top of a rustic chest upstairs; Variant Tarnished Pendant is a common Amulet. It has no enchantments.; Spots of crumbling green patina are slowly eating away at this once-bronze pendant.","https://bg3.wiki/wiki/Amulets"
"Common","Zina's Dog Collar","20","","Durinbold Mausoleum X: 1207 Y: 797: Carried by Houndmaster Pol","https://bg3.wiki/wiki/Amulets"
"Uncommon","Aberration Hunters' Amulet","65","Ancient Grudges; Touch your amulet to subsume a sliver of the knowledge of the gith. You gain Advantage on Attack Rolls against aberrations. ( Recharge: Short rest.); Aberration Hunter; A githyanki wearing this amulet has Advantage on Intelligence Saving throws. Aberrations also have Disadvantage on Attack rolls against them.","Crèche Y'llek X: 1285 Y: -801: Carried by Ghustil Stornugoss in the Doctor's Office, west of the Infirmary","https://bg3.wiki/wiki/Amulets"
"Uncommon","Absolute Confidence Amulet","45","Performance +1; Intimidation -1","Carm's Garms X: 23 Y: 131: Reward by Naaber","https://bg3.wiki/wiki/Amulets"
"Uncommon","Absolute's Talisman","65","Absolute's Talisman: Aid; Cast as a level 2 spell ( Recharge: Long rest.); The Absolute's Mercy; If the wearer bears the Absolute's Brand, they have Advantage on Death Saving Throws.","Shattered Sanctum X: 298 Y: -16: Worn by Priestess Gut","https://bg3.wiki/wiki/Amulets"
"Uncommon","Amulet of Elemental Torment","65","Nature's Vengeance; When the wearer stands on certain surfaces and casts a spell that deals damage, the target also suffers the surface's effects.","House of Hope X: -6477 Y: 2884: Carried by Hope while fighting Raphael in the Foyer","https://bg3.wiki/wiki/Amulets"
"Uncommon","Amulet of Misty Step","65","Misty Step; Cast as a level 2 spell ( Recharge: Short rest.)","Defiled Temple X: 386 Y: 8: In a Gilded chest next to the bed behind Polma in Gut's private chambers; Myconid Colony X: 112 Y: -88: Sold by Omeluum after completing Help Omeluum Investigate the Parasite","https://bg3.wiki/wiki/Amulets"
"Uncommon","Amulet of Selûne's Chosen","65","Selûne's Dream; An ally you touch regains 1d8 Hit Points, but possibly falls asleep. ( Recharge: Long rest.)","Shattered Sanctum X: 296 Y: 71: In Dror Ragzlin's treasure pile; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Uncommon","Amulet of Silvanus","65","Lesser Restoration; Cast as a level 2 spell ( Recharge: Short rest.)","Emerald Grove X: 262 Y: 481: Near Ormn the bear, hidden under a flat rock which must be moved; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Uncommon","Amulet of the Unworthy","65","Resistance to Slashing damage; Vulnerability to Bludgeoning damage","Underdark X: 160 Y: -147: Carried by a Minotaur wandering around","https://bg3.wiki/wiki/Amulets"
"Uncommon","Beastmaster's Chain","65","Animal Friendship; Cast as a level 1 spell ( Recharge: Long rest.)","Worg Pens X: 379 Y: -43: In a chest next to the table with meat","https://bg3.wiki/wiki/Amulets"
"Uncommon","Broodmother's Revenge","65","Venomous Revenge; Whenever the wearer is healed, their weapon becomes coated in magic and deals an additional 1d6 Poison damage.","Inner Sanctum X: -461 Y: -22: Carried by Kagha in the Emerald Grove; High Hall X: 235 Y: 44: On a table of goods, owned by Koll","https://bg3.wiki/wiki/Amulets"
"Uncommon","Fireheart","65","Fervent Flames; Whenever you take Fire damage dealt by another creature, you gain 2 turns of Heat.","Reithwin Town X: -127 Y: -78: Inside a Heavy Chest","https://bg3.wiki/wiki/Amulets"
"Uncommon","Frost Prince","65","Ice Knife; Cast as a level 1 spell ( Recharge: Long rest.)","Ruined Battlefield X: 80 Y: -96: In gilded chest in the southeast, near an ambush of Shadow-Cursed Needle Blights and Shadow-Cursed Vine Blights","https://bg3.wiki/wiki/Amulets"
"Uncommon","Hammergrim Mist Amulet","65","Fog Cloud; Cast as a level 1 spell ( Recharge: Long rest.)","Ruined Battlefield X: -12 Y: -7: In a locked chest tucked away in ruined house in the Shadow-Cursed Lands, east of the tollhouse","https://bg3.wiki/wiki/Amulets"
"Uncommon","Kill Collar","65","","Carried by Zanner Toobin in the Steel Watch Foundry, Lower City","https://bg3.wiki/wiki/Amulets"
"Uncommon","Komira's Locket","65","Dancing Lights; Cast as a cantrip ( Recharge: Per turn.)","Sacred Pool X: 262 Y: 542: Given to the party by Arabella's parents Komira and Locke, after protecting her from Kagha in Save Arabella","https://bg3.wiki/wiki/Amulets"
"Uncommon","Moondrop Pendant","65","Writhing Dance; When the wearer has 50% hit points or less, they don't provoke Attacks of Opportunity.","Owlbear Nest X: -321 Y: -135: In a Selûnite gilded chest","https://bg3.wiki/wiki/Amulets"
"Uncommon","Necklace of Elemental Augmentation","65","Elemental Augmentation; When one of your cantrips deals Acid, Cold, Fire, Lightning, or Thunder damage, add your Spellcasting Modifier to the damage dealt.","Crèche Y'llek X: 1379 Y: -662: inside a display case in the Inquisitor's Chamber; Wyrm's Crossing X: -97 Y: 107: inside a Traveller's Chest on a shipwrecked ship Northwest of South Span Checkpoint","https://bg3.wiki/wiki/Amulets"
"Uncommon","Pearl of Power Amulet","45","Pearlescent Restoration; You can replenish expended spell slots of your choice up to third level. ( Recharge: Long rest.)","Ebonlake Grotto X: 144 Y: 29: Sold by Omeluum after completing the quest Help Omeluum Investigate the Parasite","https://bg3.wiki/wiki/Amulets"
"Uncommon","Psychic Spark","65","Magic Missile; Cast as a level 1 spell ( Recharge: Long rest.); Psychic Missiles; Shoot an additional dart whenever you cast Magic Missile.","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg","https://bg3.wiki/wiki/Amulets"
"Uncommon","Shar's Temptation","65","Charm Person; Cast as a level 1 spell ( Recharge: Short rest.)","House of Healing X: -193 Y: 9: In a crate with a note on top, next to the wooden ladder on the ground floor; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Uncommon","Silver Pendant","65","Guidance; Cast as a cantrip at will.","Ravaged Beach X: 152 Y: 366: On a skeleton on the Harper Outpost southwest of the Druid Grove","https://bg3.wiki/wiki/Amulets"
"Uncommon","Spineshudder Amulet","65","Crackling Resonance; When the wearer deals damage with a ranged Spell Attack, inflict 2 turns of Reverberation on the target(s).","Moonrise Towers X: -171 Y: -195: in the Mimic in Isobel's bedroom on the upper floor","https://bg3.wiki/wiki/Amulets"
"Uncommon","Tarnished Charm","65","Fey Life; Makes it easier for the wearer to succeed on death saving throws.","Riverside Teahouse X: -58 Y: 263: Carried by Auntie Ethel; Overgrown Tunnel X: -412 Y: 577: Carried by Auntie Ethel, if it hadn't been looted already; The Blushing Mermaid X: -2329 Y: -95: Carried by Auntie Ethel, if it hadn't been looted already","https://bg3.wiki/wiki/Amulets"
"Uncommon","The Blast Pendant","65","Lightning Blast; Focus the electricity in your veins to strengthen your next spell or cantrip. ( Recharge: Long rest.)","Underdark X: 121 Y: -245: Worn by Dhourn, a petrified drow west of the Selûnite Outpost; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Uncommon","The Ever-Seeing Eye","3","Protection from Evil and Good; Cast as a level 1 spell ( Recharge: Short rest.)","Overgrown Tunnel X: -416 Y: 599: In the treasure room in the Hag's Lair underneath the Gnarled Teahouse","https://bg3.wiki/wiki/Amulets"
"Rare","Amulet of Branding","125","Brand the Weak; Cast as a level 1 spell ( Recharge: Long rest.)","Crèche Y'llek X: 1380 Y: -798: Carried by A'jak'nir Jeera","https://bg3.wiki/wiki/Amulets"
"Rare","Amulet of Restoration","160","Healing Word; Cast as a level 1 spell ( Recharge: Long rest.); Mass Healing Word; Cast as a level 3 spell ( Recharge: Long rest.)","Ebonlake Grotto X: -55 Y: -93: Sold by Derryth Bonecloak in the Underdark; The Counting House X: -85 Y: -185: In a chest titled 'Private Stash', in the eastern room down the very first flight of stairs","https://bg3.wiki/wiki/Amulets"
"Rare","Amulet of the Drunkard","190","Booze Remedy; While wearing this amulet, regain 2d4 hit points per turn while Drunk. Additionally, increase the duration of your inebriation by 5 rounds.","Sharess' Caress X: 21 Y: 85: Sold by Hoots Hooligan","https://bg3.wiki/wiki/Amulets"
"Rare","Amulet of the Harpers","125","Advantage with Wisdom Saving Throws.; Shield; Cast as a level 1 spell ( Recharge: Long rest.)","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Amulets"
"Rare","Champion's Chain","125","Tyrant Tongue; Grant an ally a +2 bonus on Intimidation checks. ( Recharge: Long rest.)","Ebonlake Grotto X: 58 Y: -110: Reward for delivering Nere's Head to Glut during the quest Deliver Nere's Head","https://bg3.wiki/wiki/Amulets"
"Rare","Chancer's Carcanet","190","Innate Fortitude; Once per Long Rest, you can use a Reaction to make an Attack roll or Saving throw with Advantage.","Lower City Sewers X: -124 Y: 827: Given by Sarin","https://bg3.wiki/wiki/Amulets"
"Rare","Envoy's Amulet","125","Voice of the Circle; Grant an ally a +2 bonus on Persuasion checks. ( Recharge: Long rest.)","Ebonlake Grotto X: 79 Y: -106: Reward for delivering Nere's Head to Spaw during the quest Deliver Nere's Head","https://bg3.wiki/wiki/Amulets"
"Rare","Periapt of Wound Closure","125","Wound Closure; When Downed, automatically stabilise at the start of the turn.; Potent Healing; Whenever you are healed, you restore the maximum number of possible hit points.","Rosymorn Monastery Trail X: -43 Y: -129: Sold by Lady Esther, north-east of the Trielta Crags waypoint","https://bg3.wiki/wiki/Amulets"
"Rare","Sentient Amulet (Rare)","125","Shatter; Cast as a level 2 spell ( Recharge: Short rest.); Talk to the Sentient Amulet ; Speak with the consciousness lingering inside the Sentient Amulet. ; Ki Restoration; Using the spiritual energy in the amulet, you restore 2 Ki Points. ( Recharge: Long rest.); Wearing this amulet applies the condition: ; High Spirits; The amulet's spirit lingers, making everything seem a little more vibrant. Must succeed a Wisdom Saving Throw (DC 10/15/20, see notes) when using the amulet's power, or become Hysterical (equivalent in effect to Tasha's Hideous Laughter with a duration of 1 turn).","Abandoned Refuge X: -624 Y: 224: In a locked Adamantine Chest on the island with the broken structure near the Lava Elemental in Grymforge","https://bg3.wiki/wiki/Amulets"
"Rare","Spell Savant Amulet","125","Spell Amplification; You gain an additional Level 2 Spell Slot.","In High Security Vault nº1 in The Counting House","https://bg3.wiki/wiki/Amulets"
"Rare","Strange Tendril Amulet","190","Evard's Black Tentacles; Cast as a level 4 spell ( Recharge: Long rest.)","House of Healing Morgue X: 85 Y: -1007: In a wooden chest inside a hidden room near the main entrance; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Rare","Surgeon's Subjugation Amulet","125","Paralysing Critical ; Once per Long Rest, when scoring a Critical Hit on a humanoid, the wearer can Paralyse the target for 2 turns. ( Recharge: Long rest.)","House of Healing X: -201 Y: 49: Worn by Malus Thorm; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Rare","The Amulet of Lost Voices","65","Speak with Dead; Cast as a level 3 spell ( Recharge: Long rest.)","Dank Crypt X: -290 Y: -235: In a heavy chest in the room that Withers emerges from.; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Rare","Uncovered Mysteries","125","Detect Thoughts; Cast as a level 2 spell ( Recharge: Long rest.)","Arcane Tower X: -48 Y: -282: In a small gilded chest on the basement floor's mezzanine, right next to the elevator exit","https://bg3.wiki/wiki/Amulets"
"Very rare","Amulet of Greater Health","210","Sets the wearer's Constitution score to 23. The enchantment has no effect if their Constitution score is higher without it.; Advantage on Constitution Saving Throws.","House of Hope X: -6548 Y: 2940: On the left-most pedestal in the Archive","https://bg3.wiki/wiki/Amulets"
"Very rare","Amulet of the Devout","65","High Spellcasting; You gain a +2 bonus to Spell Save DC.; Godswill; You gain an additional use of Channel Divinity Charge. Once used, it is restored upon taking a Long Rest.[See: Bugs]","Stormshore Tabernacle X: 796 Y: 1159: In the main Offering Chest in the basement","https://bg3.wiki/wiki/Amulets"
"Very rare","Amulet of Windrider","210","Ride the Winds; Cast as a level 3 spell ( Recharge: Long rest.); Gust of Wind; Cast as a level 2 spell ( Recharge: Short rest.)","Lora's House X: -65 Y: -89: Reward by Lora Bergauz for saving her daughter during the quest Save Vanra","https://bg3.wiki/wiki/Amulets"
"Very rare","Corvid Token","230","Polymorph: Dire Raven; Take the shape of a dire raven that can avoid attention and Blind enemies. It has 13 hit points. ( Recharge: Long rest.); Boon of the Raven Queen; While wearing the amulet, the wearer's jump and flying speed increase by 1.5 m / 5 ft, and they gain the Feather Fall condition. Feather Fall's effect will persist while the wearer is Polymorphed or Wild-Shaped.","Rivington X: 56 Y: -120: Sold by Mattis near the Requisitioned Barn","https://bg3.wiki/wiki/Amulets"
"Very rare","Fey Semblance Amulet","210","Semblance of Fey; You have Advantage on Intelligence, Wisdom, and Charisma Saving throws.","Old Garlow's Place X: -55 Y: -147: Reward from Mayrina for completing the quest Avenge the Hag Survivors","https://bg3.wiki/wiki/Amulets"
"Very rare","Khalid's Gift","140","Wisdom +1 (up to 21); Khalid's Gift: Aid; Cast as a level 3 spell ( Recharge: Long rest.); Odd Gift; While wearing Khalid's Gift, Jaheira cannot be Cursed.","Elerrathin's Home X: -1572 Y: 976: in a display case in the basement","https://bg3.wiki/wiki/Amulets"
"Very rare","Sentient Amulet (Very Rare)","210","Shatter; Cast as a level 3 spell ( Recharge: Long rest.); Ki Restoration; Using the spiritual energy in the amulet, you restore a number of Ki Points equal to your martial arts die. [See Notes] ( Recharge: Long rest.)","Open Hand Temple Cellar X: -7 Y: -1004: Obtained upon completing the Help the Cursed Monk quest","https://bg3.wiki/wiki/Amulets"
"Very rare","Spellcrux Amulet","210","Spell Slot Restoration; Replenish an expended spell slot of any level as a Bonus Action once per Long Rest.","Moonrise Towers Prison X: 569 Y: -650: Worn by the Warden","https://bg3.wiki/wiki/Amulets"
"Very rare","The Spectator Eyes","360","Ray of Fear; Cast as a level 3 spell ( Recharge: Long rest.); Wounding Ray; Cast as a level 3 spell ( Recharge: Long rest.)","Underdark X: 112 Y: -249: Worn by the Spectator located in the Petrified Battlefield; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Very rare","Tressym Collar","360","Telekinesis; Cast as a level 5 spell ( Recharge: Long rest.)","Open Hand Temple X: -87 Y: -7: Worn by Tara on the roof; Devil's Fee X: -27 Y: 5: Worn by Tara on the roof; Highberry's Home X: 1 Y: -36: Worn by Tara on the roof; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Very rare","Unflinching Protector Amulet","210","Unflinching Protection; When a nearby ally is targeted by an attack of any kind, you can use your Reaction to make that attack automatically miss. This effect can only be used once per Short Rest.[See: Bugs]","The Lodge - Basement Docks X: -1283 Y: 252: Worn by Ptaris","https://bg3.wiki/wiki/Amulets"
"Story Item","Amulet of Bhaal","120","First Blood; On a hit, inflict Bleeding upon targets that have maximum Hit Points.","Murder Tribunal X: -1248 Y: 503: Worn by Sarevok Anchev or rewarded by him for completing Impress the Murder Tribunal","https://bg3.wiki/wiki/Amulets"
"Story Item","Bloody Amulet","20","","The Bloody Amulet can be obtained from Barcus Wroot, who can be met in several different locations: Tied to the windmill in Blighted Village X: 0 Y: 425; In Grymforge, if been freed from the windmill; In Camp, if been encountered in Grymforge and asked to join as a Camp Follower; In Last Light, if he survives into Act 2","https://bg3.wiki/wiki/Amulets"
"Story Item","Brass Locket","40","","In a chest inside the Tiefling Hideout in the Druid Grove","https://bg3.wiki/wiki/Amulets"
"Story Item","Mayrina's Locket","1","","Riverside Teahouse X: -68 Y: 258: Worn by Mayrina","https://bg3.wiki/wiki/Amulets"
