"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Rare","The Protecty Sparkswall","None","1.8","260","High Spellcasting; You gain a +1 bonus to Spell Save DC.; Sparkswall Armour; The wearer has +1 to Armour Class and Saving throws as long as they have Lightning Charges.","Grymforge X: -645 Y: 360: In a gilded chest at the end of the trapped bridge","https://bg3.wiki/wiki/Clothing"
"Rare","Viconia's Priestess Robe","None","1.8","1600","Armour Class +1; Shar's Umbrae; While obscured, the wearer has Advantage on Stealth Checks.; Sharran Veil; Shield of Faith also grants you a +2 to all Saving throws.","Cloister of Sombre Embrace X: -400 Y: -1651: Worn by Viconia DeVir during the quest Daughter of Darkness","https://bg3.wiki/wiki/Clothing"
"Very Rare","Bonespike Garb","None","1.8","1600","Slabjaw Determination; You gain 15 temporary hit points whenever you Rage.; Exoskeletal Endurance; Reduce all incoming damage by 2. When the wearer is struck by a melee attack, the attacker takes Constitution modifier Piercing damage.","Rivington General X: 7 Y: -35: Sold by Exxvikyap in Rivington during Act Three","https://bg3.wiki/wiki/Clothing"
"Very Rare","Infernal Robe","None","1.8","1600","Grants Resistance to Fire damage.; Armour Class +1; Fire Shield: Warm; Cast as a level 4 spell ( Recharge: Long rest.)","Campsite (Act One): Rewarded by Mizora","https://bg3.wiki/wiki/Clothing"
"Very Rare","Moon Devotion Robe","None","1.8","1600","Advantage on Constitution Saving Throws.; Saving Throws +1; Lunar Bulwark; Bathe yourself in the shielding magic of Selûne's watchful gaze. ( Recharge: Long rest.); Produce Flame; A flame in your hand sheds a light in a 9 m (30 ft) radius and deals 1d8 Fire damage when thrown. ; Selûne's Protection; While the wearer has Mage Armour, each successful Saving Throw causes the source of the Saving Throw to take 1d4 Radiant damage.","Last Light Inn X: -60 Y: 158: Worn by Isobel after dealing with the Nightsong but before completing the assault on Moonrise Towers; Mind Flayer Colony X: 861 Y: -23: Worn by Isobel after being kidnapped by Marcus; Ramazith's Tower: Worn by Isobel if the Nightsong is killed or imprisoned by Lorroakan; Campsite (Act Two): Worn by Isobel as Camp Follower","https://bg3.wiki/wiki/Clothing"
"Very Rare","Potent Robe","None","1.8","1600","Armour Class +1; Gregarious Caster; Your cantrips deal additional damage equal to your Charisma Modifier.; Well-Liked and Well-Fortified; At the beginning of the wearer's turn, the robe activates, granting them Temporary Hit Points equal to their Charisma Modifier.","Last Light Inn X: -56 Y: 141: Rewarded by Alfira for successfully completing Rescue the Tieflings","https://bg3.wiki/wiki/Clothing"
"Very Rare","Robe of Supreme Defences","None","1.8","1600","Exquisite Focus; While concentrating, you add your Spellcasting Modifier to your Saving throws and gain a +1 bonus to your Armour Class.","Rivington X: 43 Y: -101: Sold by Ferg Drogher near the Requisitioned Barn","https://bg3.wiki/wiki/Clothing"
"Very Rare","Robe of the Weave","None","1.8","2900","Armour Class +2; Arcane Enchantment; You gain a +1 bonus to Spell Save DC and Spell Attack rolls.; Weave Eater; Whenever the wearer succeeds a Saving throw against a spell, they regain 1d6 hit points.","Ramazith's Tower X: 4970 Y: 705: in a Globe of Invulnerability","https://bg3.wiki/wiki/Clothing"
"Very Rare","Veil of the Morning","None","1.8","1600","Turn Undead; Pray to Turn all undead that can see you. ( Recharge: Long rest.); Let The Undead Blanch With Fear; Undead have Disadvantage on attack rolls against you, and you have Advantage on Saving Throws against their actions and spells.","Philgrave's Mansion X: 14 Y: -160: Sold by Mystic Carrion","https://bg3.wiki/wiki/Clothing"
"Very Rare","Vest of Soul Rejuvenation","None","1.8","4160","Armour Class +2; Defier's Rejuvenation; Whenever the wearer succeeds on a Saving throw against a Spell, they regain 1d4 hit points.; Greater Kushigo Counter; The wearer can use a Reaction to make an Unarmed Strike against any attacker that misses.","Sold by Lorroakan's Projection in Sorcerous Sundries if Rolan is dead; Sold by Rolan in Sorcerous Sundries if Rolan and Lorroakan are both alive; Sold by Rolan via trade option on the bottom left during the dialogue in Ramazith's Tower if Rolan is alive but Lorroakan is dead","https://bg3.wiki/wiki/Clothing"
"Very Rare","Wavemother's Robe","None","1.8","610","Armour Class +1.; Create or Destroy Water; Cast as a level 4 spell ( Recharge: Short rest.); Temperature Adjustment; You have Resistance to Fire and Cold Damage.; Watery Rejuvenation; If the wearer is standing in a Water surface at the start of their turn, they heal 1d4 Hit Points.","Flymm Cargo X: -1048 Y: 312: Rewarded by Allandra Grey in the basement for completing the quest Avenge the Drowned","https://bg3.wiki/wiki/Clothing"
